iter	MultiClass
0	1.05425189
1	1.018521129
2	0.9838896944
3	0.9602723385
4	0.9352033387
5	0.9151890935
6	0.8973910402
7	0.8823601264
8	0.8692639773
9	0.8574046218
10	0.8465303984
11	0.8373203886
12	0.8297042698
13	0.8225463543
14	0.8155912683
15	0.809227263
16	0.804116438
17	0.7976020994
18	0.7925529836
19	0.7867436928
20	0.7822953471
21	0.777720775
22	0.7737867308
23	0.769419888
24	0.7660256411
25	0.762672908
26	0.7592663271
27	0.7564557904
28	0.7537904952
29	0.7507922828
30	0.7484183039
31	0.7459555032
32	0.7435670692
33	0.7415610861
34	0.7398293628
35	0.7377780758
36	0.7354724552
37	0.733351032
38	0.7307064893
39	0.7287892285
40	0.7271923003
41	0.725401112
42	0.7241077384
43	0.7225447955
44	0.7211630876
45	0.7190866851
46	0.7177027335
47	0.7164294297
48	0.7153256884
49	0.7139645053
50	0.7126783175
51	0.7115848484
52	0.7098963954
53	0.7088431076
54	0.7076097797
55	0.7065672863
56	0.705568059
57	0.7048418282
58	0.7038822948
59	0.7028317502
60	0.7016902466
61	0.7006559254
62	0.6989748717
63	0.6980912211
64	0.6967417706
65	0.695875918
66	0.6949991149
67	0.6937783973
68	0.6927938956
69	0.6921039833
70	0.6910972524
71	0.6903298585
72	0.6896967938
73	0.6886424923
74	0.6877530397
75	0.6871524766
76	0.686637566
77	0.6860197942
78	0.6853212582
79	0.684466421
80	0.6838585271
81	0.6831480973
82	0.68247504
83	0.6818481776
84	0.6812999606
85	0.6805185227
86	0.6801599304
87	0.6795961039
88	0.6789664064
89	0.6783213138
90	0.6778328303
91	0.6770149907
92	0.6765116685
93	0.6758788612
94	0.6753574241
95	0.6748749884
96	0.6741580459
97	0.6738127241
98	0.6734006901
99	0.673056355
100	0.672535727
101	0.6718350053
102	0.6713235612
103	0.6709493015
104	0.670585574
105	0.6701604918
106	0.6698685339
107	0.669184063
108	0.6687447222
109	0.6683916794
110	0.6680541828
111	0.6677528834
112	0.6673801148
113	0.6671108584
114	0.6664561281
115	0.66593835
116	0.6655818015
117	0.6652112946
118	0.6648213183
119	0.6644792144
120	0.6641497716
121	0.6637902777
122	0.663540788
123	0.6632293141
124	0.6629426536
125	0.6625384247
126	0.6622833416
127	0.6618863537
128	0.6615021488
129	0.6611269262
130	0.6606991332
131	0.6603073194
132	0.6600028867
133	0.6596786528
134	0.6594156207
135	0.6590938078
136	0.6587607933
137	0.6585438544
138	0.658233304
139	0.6579891253
140	0.6576034621
141	0.6573124355
142	0.656970528
143	0.6565767112
144	0.6562014873
145	0.6559205315
146	0.6557527717
147	0.6555323543
148	0.6552316489
149	0.6549930959
150	0.6546836209
151	0.6544458029
152	0.6542487487
153	0.6539924673
154	0.6537479329
155	0.6535068441
156	0.6532508375
157	0.6531054057
158	0.6528991118
159	0.6527370448
160	0.652547268
161	0.6522246072
162	0.6520026449
163	0.6517727141
164	0.6514835174
165	0.651225215
166	0.6509083336
167	0.6506800135
168	0.6505235967
169	0.6502636704
170	0.6500361169
171	0.6498278474
172	0.6496390977
173	0.6494495531
174	0.6492991114
175	0.6491319407
176	0.6489777216
177	0.6488672483
178	0.6486565119
179	0.6485203221
180	0.648300154
181	0.6481664045
182	0.6480641434
183	0.6477716969
184	0.6475422049
185	0.647352186
186	0.6471329134
187	0.6469988939
188	0.6468511636
189	0.646742228
190	0.646598458
191	0.6464254668
192	0.6463265194
193	0.6460828295
194	0.6457852855
195	0.6456517041
196	0.6454438507
197	0.6453123872
198	0.6451932892
199	0.6450380782
200	0.644829888
201	0.6446131864
202	0.6444514595
203	0.6441956174
204	0.644092824
205	0.6438943769
206	0.6436298074
207	0.6435212294
208	0.6432769326
209	0.6429850387
210	0.6429086672
211	0.6427634104
212	0.6426399751
213	0.6425408462
214	0.6423244103
215	0.64211977
216	0.6419629699
217	0.6418396506
218	0.6417217195
219	0.6416514492
220	0.6415098501
221	0.641409569
222	0.6411784275
223	0.6410626954
224	0.6408431439
225	0.6407742017
226	0.6406406887
227	0.640392401
228	0.6403272025
229	0.6401734978
230	0.640044058
231	0.6399521602
232	0.639760159
233	0.6396887101
234	0.6396177672
235	0.6395182465
236	0.6394237003
237	0.6392378613
238	0.6390671237
239	0.6389679087
240	0.6388532213
241	0.6387713093
242	0.6386521685
243	0.6385885086
244	0.6384787567
245	0.6383760943
246	0.6381918037
247	0.6381403062
248	0.6380543959
249	0.6379923852
250	0.6378904569
251	0.6377232371
252	0.6376004354
253	0.6374715318
254	0.6374038723
255	0.6373008579
256	0.6372328904
257	0.6370395599
258	0.6368818104
259	0.6368027895
260	0.6367196448
261	0.6365973794
262	0.6364673659
263	0.6363174379
264	0.6362031704
265	0.6361144227
266	0.6359425279
267	0.6358620296
268	0.6357469076
269	0.6356537772
270	0.6354857229
271	0.6353794764
272	0.6352326288
273	0.6351338709
274	0.6350491051
275	0.6348180999
276	0.6347399401
277	0.6346531152
278	0.6345567339
279	0.6343638095
280	0.6342029469
281	0.6341153453
282	0.6340161037
283	0.6338990584
284	0.6338130821
285	0.6337578493
286	0.6336788903
287	0.6335931056
288	0.6335056059
289	0.6333574634
290	0.6332420317
291	0.6331518186
292	0.6330972931
293	0.6329896146
294	0.6329500717
295	0.6328912278
296	0.6328222914
297	0.6327757695
298	0.6327227045
299	0.632655495
300	0.6325071637
301	0.6324276247
302	0.6323489778
303	0.6321955312
304	0.6321186259
305	0.6320642192
306	0.6319903814
307	0.6318679498
308	0.6317499169
309	0.6316875403
310	0.6316083334
311	0.6314134655
312	0.6313100839
313	0.6312622917
314	0.6311985384
315	0.6311269525
316	0.6310265596
317	0.6309828404
318	0.630923872
319	0.6308171231
320	0.6306807522
321	0.6306111064
322	0.6305488125
323	0.6304698698
324	0.6303800791
325	0.630339631
326	0.6302528232
327	0.630164055
328	0.6301020926
329	0.6300566666
330	0.6299620482
331	0.6298808743
332	0.6298273144
333	0.6297274806
334	0.6296469387
335	0.629576271
336	0.6295313744
337	0.6294354594
338	0.6293268167
339	0.6292492903
340	0.6291686326
341	0.6291101561
342	0.6289736682
343	0.6289129516
344	0.6288613045
345	0.6287936093
346	0.6286896727
347	0.6286352043
348	0.6285776628
349	0.6285323276
350	0.6284647259
351	0.6283719881
352	0.6283438558
353	0.6283166947
354	0.6282617705
355	0.6281659775
356	0.628108769
357	0.6279392718
358	0.6279004514
359	0.6278062142
360	0.6277581957
361	0.6276495666
362	0.6275967097
363	0.6275525272
364	0.6274699354
365	0.6273929763
366	0.6273527966
367	0.6273122173
368	0.6272305017
369	0.6270825044
370	0.6270487791
371	0.6269985802
372	0.6269626633
373	0.6269189622
374	0.6269012428
375	0.6268400806
376	0.6267353447
377	0.6266573123
378	0.6266139465
379	0.626573772
380	0.6265098012
381	0.626418207
382	0.6263098661
383	0.6262276199
384	0.6261445232
385	0.6260962012
386	0.6260649942
387	0.625936686
388	0.6258702456
389	0.6257964043
390	0.6257091323
391	0.6256292754
392	0.62553131
393	0.6254805116
394	0.6253914597
395	0.6253731192
396	0.6252989281
397	0.6252503715
398	0.6252174683
399	0.6251835295
400	0.6251505771
401	0.6250825957
402	0.6249803328
403	0.6248961657
404	0.6248104966
405	0.6247714702
406	0.6247319233
407	0.6246731971
408	0.624643879
409	0.6245894453
410	0.624557367
411	0.6244982269
412	0.6244603086
413	0.6244191006
414	0.6243906087
415	0.6243096067
416	0.6242684051
417	0.6242340839
418	0.6241595358
419	0.6240792324
420	0.6240361852
421	0.6239919246
422	0.6239560325
423	0.6239133187
424	0.6238559288
425	0.6238159443
426	0.6237518077
427	0.6236582374
428	0.6236291003
429	0.6235676215
430	0.6235216199
431	0.6234950704
432	0.6234796074
433	0.623395572
434	0.6233728508
435	0.6233137768
436	0.6232645906
437	0.6231986918
438	0.6231478168
439	0.6230561436
440	0.6230220339
441	0.6229269946
442	0.6228673896
443	0.6228336725
444	0.6228118497
445	0.6227725134
446	0.6227568585
447	0.6227472551
448	0.622694418
449	0.6226611562
450	0.6226084403
451	0.622572218
452	0.622489894
453	0.6224693405
454	0.6224231629
455	0.6223307287
456	0.6222847339
457	0.6222295946
458	0.6221703088
459	0.6221458616
460	0.6220727667
461	0.6220183041
462	0.6219864137
463	0.6218835224
464	0.6218198394
465	0.6217446888
466	0.6216487144
467	0.6216123702
468	0.6215891046
469	0.6215693394
470	0.6215543315
471	0.6214855651
472	0.6214641213
473	0.6214145977
474	0.6213813446
475	0.6213335292
476	0.6212792906
477	0.621238431
478	0.6211962027
479	0.6211719654
480	0.6210555508
481	0.6209948836
482	0.6209837907
483	0.6209050274
484	0.6208162374
485	0.6207820546
486	0.6207494024
487	0.6207302777
488	0.6206823432
489	0.620661341
490	0.6206419177
491	0.6205611872
492	0.6205310782
493	0.6204866073
494	0.6204592218
495	0.6204378422
496	0.6203742752
497	0.6203495625
498	0.620303847
499	0.6202547904
500	0.6202221572
501	0.6202067905
502	0.6201531257
503	0.6200989222
504	0.6200740856
505	0.620029768
506	0.6199990198
507	0.6199395655
508	0.6198609644
509	0.6198160051
510	0.619745347
511	0.6197272076
512	0.619691578
513	0.6196742651
514	0.6196488555
515	0.6196028419
516	0.6195344786
517	0.6195043528
518	0.6194484877
519	0.6194018733
520	0.6193835512
521	0.6193661373
522	0.6192981896
523	0.6192573736
524	0.6192188177
525	0.6191689432
526	0.6191367785
527	0.6190963837
528	0.6190625552
529	0.6190243336
530	0.619009301
531	0.618993455
532	0.6189676145
533	0.6189430566
534	0.6188612014
535	0.6188268133
536	0.6188032435
537	0.6187678934
538	0.6187278632
539	0.6187138353
540	0.6186740155
541	0.6186274137
542	0.6185617573
543	0.6185202168
544	0.6184636376
545	0.6184355904
546	0.618369759
547	0.6183571251
548	0.618324946
549	0.618293567
550	0.6182828563
551	0.6182508841
552	0.6182185824
553	0.6181977334
554	0.6181777846
555	0.6181110194
556	0.6180707951
557	0.6179960995
558	0.6179430991
559	0.6178989792
560	0.6178627901
561	0.6178021448
562	0.6177543791
563	0.6177209206
564	0.6177011813
565	0.6176360696
566	0.6176024639
567	0.6175520278
568	0.6175154932
569	0.6174739955
570	0.6174515461
571	0.6173993822
572	0.6173554398
573	0.6173338855
574	0.6172883412
575	0.6172591267
576	0.6172396104
577	0.6172059998
578	0.6171717603
579	0.6171086364
580	0.6170691857
581	0.6170133796
582	0.6170004575
583	0.6169702959
584	0.6169391786
585	0.6168819143
586	0.6168251286
587	0.6167831014
588	0.6167375632
589	0.6167081852
590	0.6166924817
591	0.6166413897
592	0.6166069519
593	0.6165898099
594	0.6165633666
595	0.6165260863
596	0.6164898136
597	0.6164309861
598	0.6164143815
599	0.6163666541
