iter	Passed	Remaining
0	5	3489
1	11	3418
2	16	3382
3	22	3404
4	28	3426
5	34	3378
6	40	3423
7	46	3446
8	52	3417
9	57	3389
10	63	3399
11	69	3382
12	74	3379
13	80	3370
14	85	3339
15	91	3329
16	96	3310
17	101	3283
18	107	3287
19	112	3274
20	118	3263
21	122	3227
22	127	3209
23	132	3190
24	138	3185
25	143	3178
26	149	3164
27	154	3151
28	160	3158
29	165	3145
30	170	3136
31	176	3126
32	181	3109
33	186	3099
34	191	3088
35	196	3075
36	200	3053
37	206	3051
38	211	3041
39	216	3024
40	220	3012
41	226	3005
42	230	2985
43	234	2968
44	239	2958
45	244	2949
46	250	2943
47	255	2937
48	260	2924
49	264	2912
50	269	2904
51	274	2894
52	279	2887
53	284	2876
54	289	2864
55	293	2853
56	298	2843
57	303	2835
58	308	2825
59	313	2821
60	317	2808
61	322	2799
62	327	2788
63	331	2776
64	336	2768
65	341	2760
66	345	2749
67	350	2743
68	356	2740
69	360	2731
70	365	2722
71	370	2714
72	376	2714
73	380	2702
74	385	2695
75	390	2690
76	394	2682
77	399	2675
78	404	2670
79	409	2662
80	414	2654
81	419	2647
82	423	2640
83	428	2632
84	433	2624
85	437	2616
86	442	2608
87	447	2601
88	452	2595
89	456	2586
90	461	2578
91	465	2572
92	471	2567
93	476	2563
94	481	2559
95	486	2555
96	492	2551
97	496	2543
98	501	2538
99	506	2533
100	511	2528
101	516	2523
102	521	2518
103	526	2511
104	530	2503
105	535	2496
106	539	2487
107	545	2483
108	549	2475
109	554	2469
110	559	2463
111	563	2455
112	568	2451
113	573	2443
114	578	2439
115	582	2431
116	587	2426
117	592	2418
118	596	2412
119	601	2405
120	606	2400
121	611	2394
122	615	2387
123	620	2380
124	624	2374
125	629	2369
126	634	2364
127	639	2357
128	643	2350
129	648	2344
130	653	2338
131	658	2333
132	662	2326
133	668	2323
134	672	2316
135	677	2310
136	682	2306
137	686	2299
138	691	2294
139	696	2288
140	701	2282
141	705	2276
142	710	2272
143	716	2267
144	720	2261
145	726	2258
146	731	2253
147	735	2247
148	740	2241
149	745	2236
150	750	2231
151	754	2224
152	759	2219
153	764	2214
154	769	2209
155	774	2204
156	779	2199
157	784	2194
158	789	2189
159	794	2184
160	799	2179
161	804	2174
162	809	2170
163	814	2165
164	819	2160
165	824	2155
166	829	2150
167	834	2146
168	839	2140
169	843	2134
170	848	2129
171	853	2124
172	858	2118
173	863	2113
174	867	2107
175	872	2102
176	877	2096
177	882	2091
178	886	2086
179	891	2081
180	896	2076
181	901	2071
182	906	2065
183	911	2060
184	916	2055
185	920	2049
186	925	2043
187	929	2037
188	934	2031
189	938	2025
190	946	2026
191	951	2020
192	955	2014
193	960	2010
194	965	2004
195	969	1998
196	974	1993
197	979	1987
198	983	1981
199	987	1975
200	992	1970
201	997	1964
202	1001	1959
203	1006	1954
204	1011	1948
205	1016	1943
206	1021	1938
207	1026	1934
208	1030	1928
209	1035	1923
210	1041	1920
211	1046	1914
212	1050	1908
213	1054	1902
214	1059	1897
215	1064	1891
216	1069	1886
217	1074	1882
218	1079	1877
219	1084	1872
220	1089	1868
221	1094	1862
222	1098	1856
223	1103	1852
224	1108	1848
225	1113	1843
226	1118	1838
227	1123	1833
228	1128	1827
229	1132	1822
230	1137	1816
231	1142	1811
232	1146	1805
233	1151	1800
234	1156	1795
235	1161	1791
236	1166	1786
237	1171	1781
238	1175	1775
239	1179	1769
240	1184	1764
241	1189	1759
242	1193	1753
243	1198	1748
244	1203	1744
245	1208	1739
246	1213	1733
247	1217	1728
248	1222	1723
249	1226	1717
250	1231	1712
251	1235	1706
252	1240	1701
253	1245	1696
254	1250	1691
255	1254	1686
256	1259	1681
257	1264	1675
258	1268	1669
259	1273	1664
260	1277	1659
261	1282	1654
262	1287	1649
263	1292	1644
264	1296	1639
265	1301	1634
266	1307	1630
267	1311	1624
268	1315	1619
269	1321	1614
270	1326	1609
271	1330	1604
272	1336	1600
273	1340	1594
274	1345	1589
275	1350	1585
276	1357	1582
277	1362	1577
278	1367	1573
279	1372	1569
280	1377	1563
281	1382	1558
282	1387	1553
283	1391	1548
284	1396	1543
285	1401	1538
286	1406	1533
287	1410	1528
288	1416	1524
289	1421	1519
290	1425	1513
291	1430	1509
292	1435	1504
293	1441	1500
294	1446	1495
295	1451	1490
296	1456	1485
297	1460	1480
298	1466	1475
299	1471	1471
300	1476	1466
301	1480	1461
302	1485	1455
303	1490	1450
304	1494	1445
305	1499	1440
306	1503	1435
307	1508	1430
308	1513	1425
309	1518	1420
310	1523	1415
311	1528	1410
312	1532	1405
313	1538	1401
314	1542	1395
315	1547	1390
316	1552	1385
317	1557	1380
318	1561	1375
319	1567	1371
320	1572	1366
321	1576	1361
322	1581	1356
323	1586	1351
324	1591	1346
325	1595	1341
326	1600	1336
327	1605	1331
328	1609	1325
329	1614	1321
330	1619	1315
331	1623	1310
332	1628	1306
333	1633	1301
334	1638	1296
335	1643	1291
336	1648	1286
337	1652	1280
338	1656	1275
339	1662	1271
340	1667	1266
341	1671	1260
342	1676	1255
343	1680	1250
344	1685	1245
345	1690	1240
346	1695	1236
347	1699	1230
348	1704	1225
349	1709	1220
350	1713	1215
351	1718	1211
352	1723	1206
353	1728	1201
354	1733	1196
355	1738	1191
356	1743	1186
357	1749	1182
358	1754	1178
359	1760	1173
360	1764	1168
361	1769	1163
362	1773	1157
363	1777	1152
364	1783	1148
365	1788	1143
366	1793	1138
367	1799	1134
368	1806	1130
369	1811	1126
370	1816	1121
371	1821	1116
372	1826	1111
373	1831	1106
374	1836	1101
375	1840	1096
376	1845	1091
377	1850	1086
378	1855	1082
379	1860	1077
380	1865	1072
381	1869	1066
382	1874	1062
383	1879	1057
384	1884	1052
385	1890	1047
386	1896	1043
387	1901	1038
388	1907	1034
389	1912	1029
390	1917	1024
391	1921	1019
392	1926	1014
393	1930	1009
394	1935	1004
395	1941	999
396	1946	995
397	1950	990
398	1955	985
399	1959	979
400	1964	974
401	1968	969
402	1972	964
403	1978	959
404	1983	954
405	1988	950
406	1993	945
407	1998	940
408	2004	936
409	2009	931
410	2014	926
411	2019	921
412	2023	916
413	2029	911
414	2034	906
415	2038	901
416	2043	896
417	2048	892
418	2053	886
419	2057	881
420	2063	877
421	2067	872
422	2072	867
423	2077	862
424	2081	857
425	2086	852
426	2091	847
427	2096	842
428	2100	837
429	2105	832
430	2110	827
431	2115	822
432	2120	817
433	2124	812
434	2129	807
435	2134	802
436	2139	797
437	2143	792
438	2148	788
439	2153	783
440	2158	778
441	2162	772
442	2166	767
443	2171	762
444	2175	757
445	2180	753
446	2185	748
447	2189	742
448	2195	738
449	2200	733
450	2205	728
451	2210	723
452	2215	718
453	2219	713
454	2224	708
455	2229	704
456	2234	699
457	2239	694
458	2243	689
459	2248	684
460	2253	679
461	2257	674
462	2262	669
463	2266	664
464	2271	659
465	2276	654
466	2281	649
467	2286	644
468	2291	640
469	2295	635
470	2300	629
471	2304	624
472	2309	620
473	2314	615
474	2318	610
475	2323	605
476	2328	600
477	2332	595
478	2338	590
479	2343	585
480	2348	580
481	2353	576
482	2358	571
483	2362	566
484	2368	561
485	2373	556
486	2377	551
487	2382	546
488	2387	541
489	2392	536
490	2397	532
491	2402	527
492	2407	522
493	2411	517
494	2416	512
495	2420	507
496	2425	502
497	2429	497
498	2434	492
499	2439	487
500	2445	483
501	2449	478
502	2454	473
503	2459	468
504	2463	463
505	2467	458
506	2472	453
507	2477	448
508	2482	443
509	2486	438
510	2491	433
511	2496	429
512	2501	424
513	2505	419
514	2510	414
515	2514	409
516	2519	404
517	2524	399
