iter	MultiClass
0	1.057582193
1	1.024514309
2	0.9981145398
3	0.9754280186
4	0.9560449799
5	0.9394566907
6	0.9258257084
7	0.9143157157
8	0.90411341
9	0.8949877689
10	0.8865533046
11	0.8797247203
12	0.8730865227
13	0.8669941837
14	0.8616520174
15	0.8571252555
16	0.8531174444
17	0.8495132038
18	0.8463287991
19	0.8431153921
20	0.8402773776
21	0.8376898771
22	0.8353269307
23	0.8328292624
24	0.8301537981
25	0.8284112826
26	0.8263526078
27	0.8248387491
28	0.8233193978
29	0.8219095109
30	0.8202024871
31	0.8190147502
32	0.8170217411
33	0.8161538428
34	0.8144225409
35	0.8133540087
36	0.8125469794
37	0.8114576521
38	0.810581872
39	0.8096699279
40	0.8088127322
41	0.808190774
42	0.8073912758
43	0.8065871
44	0.806100083
45	0.8054447014
46	0.8048385419
47	0.8042026908
48	0.8034290793
49	0.8028683393
50	0.8024097479
51	0.8019309085
52	0.8015122627
53	0.8010073747
54	0.8007434253
55	0.8000684259
56	0.7996270623
57	0.7991391949
58	0.7987929734
59	0.7985566542
60	0.7980876223
61	0.7975862248
62	0.7973040975
63	0.7970709635
64	0.7969050764
65	0.796421606
66	0.7962173002
67	0.7960896897
68	0.7958399827
69	0.7956926366
70	0.7953266008
71	0.7950397128
72	0.7948606015
73	0.7946675934
74	0.7944993775
75	0.794211468
76	0.7940700612
77	0.7937151622
78	0.7935283028
79	0.7932811419
80	0.7931372972
81	0.793030102
82	0.7927868975
83	0.7925276513
84	0.7922578903
85	0.7921677357
86	0.7918814529
87	0.7916269226
88	0.7915114402
89	0.7913592619
90	0.7912459247
91	0.7911290092
92	0.7910145474
93	0.7909443146
94	0.7908284308
95	0.7906181535
96	0.7905237638
97	0.7904430249
98	0.7902636402
99	0.7901944742
100	0.7900505372
101	0.7899669322
102	0.7898302807
103	0.7897183496
104	0.789507386
105	0.7891911975
106	0.7890309258
107	0.7888392968
108	0.7886368744
109	0.7884456069
110	0.788352384
111	0.7881436376
112	0.7880192451
113	0.787909309
114	0.7878194779
115	0.7876997648
116	0.7875554369
117	0.7874342996
118	0.7873328559
119	0.787255918
120	0.7870851483
121	0.7869617185
122	0.7868421567
123	0.7867258743
124	0.7865670787
125	0.7864897613
126	0.7864276885
127	0.7862415669
128	0.7861703615
129	0.7860657686
130	0.7858967289
131	0.7857814868
132	0.7856068803
133	0.7854849785
134	0.7853559513
135	0.7852679959
136	0.7851250928
137	0.785004571
138	0.7848595765
139	0.7847671285
140	0.7846785901
141	0.7845926386
142	0.7845190557
143	0.7844302481
144	0.7842964895
145	0.7842516114
146	0.7841427987
147	0.7840523801
148	0.7839358375
149	0.7838403212
150	0.7837392176
151	0.7836598977
152	0.7836030427
153	0.7835399628
154	0.7834605368
155	0.7833293967
156	0.7832491753
157	0.7831659229
158	0.7830955724
159	0.7829786191
160	0.7829082488
161	0.7827997669
162	0.7827024578
163	0.7826176577
164	0.7825746763
165	0.7825322339
166	0.7824647916
167	0.7823696207
168	0.7822821045
169	0.7822173466
170	0.782159782
171	0.7820576814
172	0.7820140424
173	0.7819563001
174	0.7818393334
175	0.7817452199
176	0.7816410901
177	0.7816002747
178	0.7815493788
179	0.7814819415
180	0.7814099832
181	0.7813631414
182	0.7812874141
183	0.7812212049
184	0.7811163254
185	0.7810455017
186	0.7809650302
187	0.78083927
188	0.7807696222
189	0.7807037259
190	0.7806709347
191	0.7806291155
192	0.7805227251
193	0.7804660406
194	0.7803927556
195	0.7803168676
196	0.7802955585
197	0.7802385679
198	0.7801964151
199	0.7801605069
200	0.7800812174
201	0.7800010892
202	0.7799745369
203	0.7799045734
204	0.7798131827
205	0.7797730688
206	0.7797110481
207	0.7796682617
208	0.779627051
209	0.7795184872
210	0.7794683714
211	0.7794017793
212	0.7793196519
213	0.7792741941
214	0.7792089298
215	0.7791466584
216	0.7791037856
217	0.7790523954
218	0.7790125696
219	0.7789489177
220	0.7788644961
221	0.7787951656
222	0.7787784371
223	0.7787463596
224	0.7786968249
225	0.7786187967
226	0.7785779074
227	0.7785408072
228	0.778495201
229	0.7784306468
230	0.7783946882
231	0.7783256401
232	0.7782900206
233	0.7782078584
234	0.7781866596
235	0.7781472487
236	0.778115607
237	0.7780509328
238	0.7780064915
239	0.7779547348
240	0.7779244452
241	0.7778192742
242	0.7777787113
243	0.7777591693
244	0.7777219246
245	0.7776986765
246	0.7776517067
247	0.7775778878
248	0.7775171321
249	0.7774586713
250	0.7773563379
251	0.7772943096
252	0.777243515
253	0.7771839991
254	0.7771377345
255	0.7771055721
256	0.7770617373
257	0.7769842331
258	0.7769262877
259	0.7768873072
260	0.7768414361
261	0.7768081796
262	0.7767716367
263	0.7767248628
264	0.7766888541
265	0.7765729202
266	0.7765041968
267	0.7764720016
268	0.7764031675
269	0.7763486775
270	0.7763107943
271	0.7762813081
272	0.7762435113
273	0.7761976947
274	0.7761365677
275	0.7760840735
276	0.7760601654
277	0.7760351892
278	0.7759823737
279	0.7759345506
280	0.7758965174
281	0.7758295693
282	0.7758144045
283	0.7757693412
284	0.7757170017
285	0.7756500157
286	0.7756107841
287	0.7755919853
288	0.7755431462
289	0.7754574057
290	0.7754071934
291	0.7753561235
292	0.7753198851
293	0.7752581722
294	0.7752023777
295	0.77514396
296	0.7750788251
297	0.7750365957
298	0.7750042643
299	0.7749127759
300	0.7748850474
301	0.7748649182
302	0.7748150417
303	0.7747757897
304	0.7747321203
305	0.7746995281
306	0.7746843291
307	0.7746438607
308	0.7745855977
309	0.7745511815
310	0.7744919966
311	0.7744432912
312	0.774367273
313	0.7743335478
314	0.7743178268
315	0.7742629496
316	0.77420402
317	0.7741226477
318	0.7741026221
319	0.7740656234
320	0.7740404639
321	0.7739968083
322	0.7739434235
323	0.7739031257
324	0.7738540341
325	0.7738245511
326	0.7737820562
327	0.7737291964
328	0.7736983316
329	0.7736651119
330	0.7736471473
331	0.7735910212
332	0.7735148477
333	0.7734698624
334	0.773422941
335	0.7734020983
336	0.7733870206
337	0.7733390101
338	0.7733208613
339	0.7732799436
340	0.7732220327
341	0.7731387431
342	0.7730769519
343	0.773021771
344	0.772999515
345	0.7729534101
346	0.7728919995
347	0.7728713863
348	0.7727998825
349	0.7727504614
350	0.7727156738
351	0.7726601861
352	0.7726363976
353	0.7726007179
354	0.7725765828
355	0.7725340867
356	0.7724840947
357	0.772472176
358	0.772428535
359	0.7723749767
360	0.7722991025
361	0.7722598983
362	0.7722468616
363	0.7722043176
364	0.7721635313
365	0.7721452379
366	0.7721066386
367	0.7720805087
368	0.7720185483
369	0.7719868512
370	0.771953667
371	0.7719325923
372	0.7719038421
373	0.7718758373
374	0.7718321797
375	0.7718002331
376	0.7717753344
377	0.7717314664
378	0.7716987398
379	0.7716541282
380	0.7716106571
381	0.771552649
382	0.7715075029
383	0.7714540332
384	0.7714228956
385	0.7713697517
386	0.7713216769
387	0.7713056928
388	0.771267891
389	0.7712292597
390	0.7711837803
391	0.7711463196
392	0.7710826944
393	0.7710332653
394	0.7710073029
395	0.7709843634
396	0.7709692168
397	0.7709166494
398	0.7708848396
399	0.770836872
400	0.7708081924
401	0.7707717867
402	0.7707125635
403	0.7706783251
404	0.7706165373
405	0.7705729704
406	0.7705392507
407	0.7705149269
408	0.7704771887
409	0.7704382431
