iter	Passed	Remaining
0	11	5540
1	24	5998
2	34	5655
3	40	4998
4	47	4655
5	53	4371
6	59	4175
7	65	4022
8	71	3905
9	77	3816
10	83	3725
11	89	3657
12	95	3584
13	101	3519
14	107	3462
15	112	3410
16	118	3358
17	123	3318
18	128	3264
19	134	3229
20	140	3203
21	145	3165
22	151	3144
23	157	3122
24	162	3093
25	168	3063
26	173	3045
27	179	3019
28	184	3002
29	190	2980
30	195	2959
31	201	2943
32	206	2920
33	212	2911
34	218	2897
35	223	2879
36	228	2860
37	234	2845
38	239	2832
39	245	2818
40	250	2806
41	256	2793
42	261	2784
43	267	2772
44	273	2768
45	280	2771
46	286	2761
47	291	2747
48	296	2733
49	302	2719
50	307	2708
51	312	2693
52	318	2686
53	324	2677
54	329	2664
55	335	2658
56	340	2644
57	345	2635
58	351	2626
59	356	2612
60	361	2602
61	366	2592
62	372	2584
63	377	2575
64	383	2564
65	389	2558
66	394	2549
67	399	2536
68	404	2527
69	409	2516
70	414	2505
71	419	2495
72	425	2488
73	431	2483
74	436	2475
75	442	2469
76	447	2459
77	453	2451
78	458	2445
79	465	2441
80	470	2431
81	476	2427
82	482	2424
83	487	2413
84	493	2409
85	499	2402
86	504	2395
87	511	2392
88	516	2384
89	521	2376
90	526	2368
91	532	2359
92	537	2351
93	542	2343
94	548	2336
95	554	2334
96	560	2327
97	565	2321
98	572	2317
99	577	2309
100	582	2300
101	588	2296
102	593	2287
103	598	2279
104	605	2278
105	611	2271
106	616	2263
107	621	2255
108	626	2248
109	632	2241
110	638	2238
111	644	2231
112	649	2225
113	655	2219
114	660	2212
115	666	2206
116	672	2200
117	677	2194
118	683	2189
119	690	2185
120	694	2176
121	701	2172
122	707	2169
123	713	2162
124	719	2158
125	725	2152
126	731	2147
127	737	2143
128	742	2136
129	749	2132
130	755	2126
131	760	2119
132	766	2114
133	771	2107
134	777	2102
135	784	2099
136	789	2092
137	795	2086
138	801	2082
139	807	2076
140	813	2071
141	819	2065
142	824	2058
143	830	2053
144	836	2046
145	842	2042
146	848	2037
147	853	2031
148	859	2024
149	864	2016
150	870	2011
151	875	2004
152	881	1998
153	885	1990
154	891	1983
155	896	1977
156	902	1971
157	907	1963
158	912	1957
159	919	1953
160	925	1947
161	931	1943
162	936	1936
163	942	1930
164	947	1923
165	952	1916
166	957	1909
167	963	1903
168	969	1897
169	974	1892
170	980	1886
171	986	1880
172	991	1874
173	997	1868
174	1003	1862
175	1009	1858
176	1014	1851
177	1019	1844
178	1025	1838
179	1030	1831
180	1035	1824
181	1040	1818
182	1046	1812
183	1051	1806
184	1057	1800
185	1062	1793
186	1068	1788
187	1074	1782
188	1078	1775
189	1084	1770
190	1090	1763
191	1096	1758
192	1101	1752
193	1106	1745
194	1112	1739
195	1117	1733
196	1123	1727
197	1128	1721
198	1134	1715
199	1139	1709
200	1144	1702
201	1150	1696
202	1155	1691
203	1160	1684
204	1166	1678
205	1171	1672
206	1177	1666
207	1182	1659
208	1188	1654
209	1194	1648
210	1199	1643
211	1204	1636
212	1209	1630
213	1216	1625
214	1221	1619
215	1226	1612
216	1231	1606
217	1237	1600
218	1242	1594
219	1247	1588
220	1253	1582
221	1259	1576
222	1264	1570
223	1269	1564
