iter	MultiClass
0	1.077303492
1	1.057658752
2	1.039000022
3	1.02148075
4	1.005305988
5	0.9897556514
6	0.9759641929
7	0.9627661222
8	0.9500057449
9	0.9377123237
10	0.9263345344
11	0.91579093
12	0.9053074889
13	0.8953569689
14	0.8864144995
15	0.8776342058
16	0.8692301875
17	0.8609686974
18	0.8534570502
19	0.8464268213
20	0.8392731484
21	0.8322893079
22	0.826194251
23	0.8200835672
24	0.8140303678
25	0.8083259293
26	0.8026895904
27	0.797752062
28	0.7928431645
29	0.7880019373
30	0.7831343659
31	0.7784786612
32	0.7738842372
33	0.7695966164
34	0.7658382141
35	0.761889601
36	0.7583759698
37	0.7547303357
38	0.7512655509
39	0.7481609007
40	0.7453021395
41	0.7418613428
42	0.7387543001
43	0.7361037884
44	0.7336370265
45	0.7310379472
46	0.7281595627
47	0.7257066088
48	0.7232981285
49	0.7210404182
50	0.7184638855
51	0.7158225671
52	0.7135468881
53	0.7114302336
54	0.7093316451
55	0.70705433
56	0.7048195114
57	0.7026929538
58	0.7009491472
59	0.6990900243
60	0.697466606
61	0.6956813774
62	0.6939411352
63	0.6922977767
64	0.6909141649
65	0.6891803359
66	0.6876264958
67	0.686079194
68	0.6843436026
69	0.6827030434
70	0.6814529805
71	0.6799507637
72	0.6787094682
73	0.6774917496
74	0.6762128953
75	0.6749762236
76	0.6738319741
77	0.6728796714
78	0.6714906163
79	0.670304746
80	0.6691388291
81	0.6678996293
82	0.6668631817
83	0.6656726982
84	0.6647250398
85	0.6637239672
86	0.6626327716
87	0.6616380148
88	0.6605105369
89	0.6596064272
90	0.658643603
91	0.6576872228
92	0.6566569796
93	0.6556276506
94	0.6546004686
95	0.6536883146
96	0.6529276053
97	0.6520818676
98	0.6513390805
99	0.6501743697
100	0.649417497
101	0.6486623658
102	0.6480314371
103	0.6471901425
104	0.6465849906
105	0.645913352
106	0.6451250225
107	0.644249507
108	0.6435778182
109	0.6428471625
110	0.642157667
111	0.641571634
112	0.6409241956
113	0.6402759325
114	0.6395564955
115	0.6390380485
116	0.6385762005
117	0.6379671402
118	0.6373316603
119	0.6367232813
120	0.6363191223
121	0.63576363
122	0.6352787776
123	0.6347316073
124	0.6342362576
125	0.6336972411
126	0.6331574471
127	0.6326938883
128	0.632159782
129	0.6315419629
130	0.630989454
131	0.6303385195
132	0.6298987168
133	0.6292952675
134	0.6287176422
135	0.6281510422
136	0.6277316772
137	0.6271927103
138	0.6268114347
139	0.626441128
140	0.6259993584
141	0.6254966541
142	0.6250176198
143	0.6246825179
144	0.6242244685
145	0.6238383367
146	0.6233808661
147	0.6228344044
148	0.6224582042
149	0.6220666522
150	0.6216997201
151	0.621226982
152	0.6208438672
153	0.6204095473
154	0.620076172
155	0.6197693166
156	0.6193394272
157	0.6189312052
158	0.6185152394
159	0.6180563595
160	0.6177307178
161	0.6173663063
162	0.6169725235
163	0.616592857
164	0.6161972988
165	0.6158982562
166	0.6156528073
167	0.6153344509
168	0.6150362635
169	0.6146495449
170	0.6143421059
171	0.6139835836
172	0.6137625341
173	0.6134571069
174	0.6131852754
175	0.6129635691
176	0.6127249504
177	0.6123924593
178	0.6120214871
179	0.6118274708
180	0.6115630016
181	0.6112910179
182	0.6110688068
183	0.6107636796
184	0.6104927109
185	0.61021729
186	0.6097922921
187	0.6095328929
188	0.6092406018
189	0.6089377034
190	0.6085895188
191	0.6083841363
192	0.6082142265
193	0.6078099366
194	0.6075554863
195	0.6072159313
196	0.6069864456
197	0.6067836839
198	0.6064720026
199	0.6062375898
200	0.6060346903
201	0.6057176048
202	0.6053545775
203	0.6050695704
204	0.6048116597
205	0.6045754643
206	0.6043078072
207	0.6040604428
