iter	Passed	Remaining
0	19	19866
1	37	18675
2	50	16734
3	62	15583
4	75	14939
5	87	14506
6	100	14250
7	112	13919
8	123	13645
9	134	13340
10	144	13024
11	157	12996
12	169	12839
13	179	12664
14	191	12566
15	201	12413
16	213	12351
17	224	12238
18	235	12135
19	247	12113
20	258	12036
21	269	12001
22	281	11956
23	293	11952
24	305	11922
25	316	11871
26	327	11784
27	338	11762
28	349	11694
29	359	11627
30	370	11583
31	381	11526
32	392	11506
33	404	11491
34	415	11448
35	426	11431
36	438	11404
37	449	11370
38	461	11375
39	473	11374
40	484	11330
41	495	11309
42	508	11307
43	519	11291
44	530	11253
45	542	11243
46	552	11206
47	563	11182
48	574	11159
49	586	11141
50	597	11119
51	609	11111
52	619	11072
53	630	11045
54	641	11026
55	652	10995
56	664	10995
57	675	10973
58	686	10950
59	699	10958
60	710	10936
61	721	10918
62	734	10920
63	746	10919
64	757	10889
65	767	10862
66	780	10865
67	792	10856
68	803	10844
69	815	10839
70	826	10809
71	838	10808
72	850	10797
73	860	10767
74	873	10772
75	884	10753
76	895	10734
77	906	10713
78	917	10691
79	927	10668
80	962	10918
81	979	10967
82	990	10946
83	1000	10913
84	1011	10883
85	1021	10852
86	1031	10829
87	1042	10802
88	1054	10792
89	1064	10759
90	1075	10743
91	1086	10721
92	1097	10705
93	1111	10708
94	1122	10690
95	1133	10673
96	1144	10650
97	1154	10629
98	1164	10596
99	1191	10725
100	1206	10740
101	1217	10721
102	1228	10700
103	1241	10695
104	1250	10659
105	1261	10639
106	1271	10615
107	1283	10599
108	1294	10579
109	1304	10554
110	1315	10537
111	1327	10522
112	1338	10503
113	1348	10476
114	1359	10464
115	1369	10437
116	1380	10414
117	1390	10394
118	1400	10366
119	1413	10362
120	1422	10335
121	1432	10311
122	1445	10307
123	1455	10285
124	1466	10267
125	1478	10258
126	1489	10241
127	1499	10215
128	1511	10203
129	1521	10181
130	1531	10157
131	1541	10136
132	1551	10115
133	1562	10099
134	1574	10090
135	1584	10067
136	1595	10047
137	1605	10029
138	1615	10006
139	1625	9984
140	1636	9967
141	1645	9943
142	1656	9927
143	1666	9907
144	1677	9892
145	1688	9878
