iter	MultiClass
0	1.060838024
1	1.031946347
2	1.009024716
3	0.987153236
4	0.9694877021
5	0.9530913294
6	0.9394097749
7	0.9287431203
8	0.9187671667
9	0.909595707
10	0.902342214
11	0.8950735477
12	0.8889463943
13	0.8829022643
14	0.878343113
15	0.8733091233
16	0.8683622368
17	0.8640926956
18	0.859868488
19	0.8558234526
20	0.8527525641
21	0.849868807
22	0.846952757
23	0.8435380199
24	0.8409590723
25	0.8385177548
26	0.8361192938
27	0.8342255532
28	0.8318552178
29	0.8306640579
30	0.8284253727
31	0.8265421519
32	0.8249264659
33	0.8231688418
34	0.8217203774
35	0.8200588921
36	0.8174803451
37	0.8165240283
38	0.8150608633
39	0.8137083878
40	0.8126511715
41	0.8103248189
42	0.8083896198
43	0.8072648324
44	0.8062661128
45	0.8055602211
46	0.804342755
47	0.8032805841
48	0.8020551046
49	0.8008070904
50	0.7998626894
51	0.7991497204
52	0.797988871
53	0.7973496506
54	0.7967726945
55	0.7954359221
56	0.7947095666
57	0.7938315833
58	0.7928473854
59	0.792340547
60	0.791304869
61	0.7908132767
62	0.7899870108
63	0.7895241474
64	0.7887872804
65	0.7881642794
66	0.7874574665
67	0.7868324494
68	0.7860844569
69	0.785173591
70	0.7847792665
71	0.7842440279
72	0.7837531139
73	0.783320122
74	0.7826378218
75	0.7818080368
76	0.7811747201
77	0.7807783429
78	0.780057177
79	0.7795107479
80	0.779047429
81	0.7784986919
82	0.7781441019
83	0.7777351412
84	0.7772362855
85	0.7766293681
86	0.776174419
87	0.7757813117
88	0.7754988139
89	0.7752963996
90	0.774639891
91	0.7742992087
92	0.7739665713
93	0.7738079841
94	0.773367372
95	0.772614598
96	0.7723359645
97	0.7717221912
98	0.7712565523
99	0.7708491516
100	0.7704630655
101	0.7700968777
102	0.769829551
103	0.7692103636
104	0.7685818831
105	0.7676963817
106	0.767423537
107	0.7672639235
108	0.7670408635
109	0.7666996232
110	0.7664734534
111	0.7654911504
112	0.7651079725
113	0.7648788958
114	0.7642892329
115	0.7640352869
116	0.7635499933
117	0.7634059725
118	0.7631343275
119	0.7628630256
120	0.7625481687
121	0.7622174397
122	0.7618008635
123	0.7614094342
124	0.7610951757
125	0.7605136583
126	0.7602995577
127	0.7600672939
128	0.7597497057
129	0.7590087268
130	0.7585923785
131	0.7583079619
132	0.7581784431
133	0.7578918887
134	0.757546376
135	0.7573258346
136	0.7571583661
137	0.7567933867
138	0.7564063509
139	0.7559861478
140	0.755629921
141	0.7553413462
142	0.7547584921
143	0.754390934
144	0.7541887026
145	0.7540382639
146	0.753475951
147	0.7531242815
148	0.752751499
149	0.75241001
150	0.7521438774
151	0.7519912945
152	0.7516355517
153	0.7515046854
154	0.7513607736
155	0.7511349998
156	0.750716571
157	0.7501036332
158	0.7499419389
159	0.7497654397
160	0.7494914757
161	0.7490114631
162	0.7487715758
163	0.7485600237
164	0.7482356615
165	0.7477922137
166	0.7475663231
167	0.7473752929
168	0.7470839438
169	0.746967322
170	0.7465416103
171	0.7461046929
172	0.7457840309
173	0.745622732
174	0.7452585056
175	0.745039304
176	0.7448855172
177	0.7447205645
178	0.7444854187
179	0.7440793524
180	0.7437269157
181	0.7436434274
182	0.7434695668
183	0.7432960873
184	0.7429929781
185	0.742763001
186	0.7424397424
187	0.7421056013
188	0.7420065878
189	0.7418746428
190	0.7417919314
191	0.7411738179
192	0.7408109838
193	0.7406545838
194	0.7405200537
195	0.7403129378
196	0.7401424111
197	0.739994837
198	0.7399005
199	0.7397782111
200	0.7395792992
201	0.7392537882
202	0.7390475928
203	0.7389307836
204	0.7386302282
205	0.7384913324
206	0.7382859288
207	0.7380921658
208	0.7379291624
209	0.7375219755
210	0.7374327399
211	0.7372222191
212	0.7369639304
213	0.7368321313
214	0.7364813121
215	0.7363805311
216	0.7361119238
217	0.7359434444
218	0.7357635234
219	0.7356578324
220	0.7353952381
221	0.7351191573
222	0.7350353273
