iter	Passed	Remaining
0	21	10745
1	33	8374
2	43	7253
3	53	6644
4	63	6277
5	74	6167
6	85	6012
7	94	5831
8	105	5767
9	115	5644
10	123	5497
11	132	5402
12	142	5324
13	150	5237
14	159	5161
15	169	5120
16	178	5079
17	186	5005
18	195	4961
19	206	4954
20	215	4912
21	224	4870
22	232	4819
23	241	4796
24	250	4760
25	258	4715
26	267	4694
27	275	4650
28	284	4612
29	292	4581
30	301	4559
31	309	4528
32	317	4498
33	326	4468
34	334	4443
35	343	4427
36	352	4410
37	360	4377
38	370	4375
39	380	4371
40	388	4344
41	398	4342
42	406	4320
43	414	4296
44	422	4275
45	431	4257
46	440	4246
47	448	4228
48	456	4205
49	465	4192
50	474	4179
51	482	4155
52	491	4142
53	499	4128
54	507	4109
55	517	4100
56	525	4080
57	534	4069
58	543	4062
59	551	4045
60	561	4040
61	569	4026
62	579	4016
63	588	4007
64	596	3993
65	605	3978
66	614	3971
67	623	3958
68	631	3947
69	641	3940
70	650	3928
71	658	3916
72	667	3907
73	676	3893
74	685	3883
75	693	3866
76	702	3857
77	710	3845
78	719	3836
79	728	3822
80	737	3813
81	745	3800
82	752	3782
83	761	3772
84	769	3758
85	779	3751
86	787	3740
87	796	3730
88	806	3724
89	814	3710
90	823	3702
91	832	3691
92	841	3682
93	848	3666
94	857	3654
95	866	3645
96	875	3635
97	884	3628
98	891	3611
99	900	3602
100	910	3595
101	918	3585
102	927	3573
103	935	3563
104	944	3554
105	953	3544
106	961	3532
107	969	3520
108	979	3512
109	987	3502
110	995	3490
111	1005	3483
112	1014	3474
113	1023	3464
114	1032	3457
115	1041	3448
116	1050	3438
117	1057	3423
118	1066	3413
119	1074	3403
120	1082	3391
121	1091	3383
122	1099	3371
123	1107	3359
124	1117	3351
125	1126	3344
126	1134	3331
127	1142	3321
128	1151	3313
129	1161	3304
130	1168	3290
131	1177	3282
132	1184	3269
133	1193	3259
134	1203	3252
135	1211	3243
136	1219	3232
137	1227	3220
138	1236	3211
139	1246	3204
140	1254	3194
141	1262	3182
142	1271	3173
143	1280	3164
144	1288	3153
145	1295	3140
146	1304	3132
147	1313	3122
148	1322	3114
149	1330	3105
150	1339	3096
151	1347	3084
152	1357	3077
153	1365	3066
154	1373	3056
155	1382	3047
156	1390	3037
157	1399	3028
158	1407	3019
159	1417	3012
160	1426	3003
161	1435	2995
162	1444	2985
163	1452	2975
164	1460	2965
165	1468	2955
166	1477	2945
167	1485	2935
168	1492	2924
169	1500	2912
170	1509	2903
171	1518	2895
172	1526	2885
173	1534	2875
174	1543	2867
175	1552	2858
176	1560	2847
177	1569	2839
178	1579	2831
179	1588	2823
180	1596	2813
181	1604	2803
182	1613	2794
183	1620	2783
184	1630	2776
185	1639	2767
186	1648	2758
187	1657	2751
188	1665	2740
189	1673	2730
190	1681	2719
191	1692	2714
192	1701	2706
193	1710	2698
194	1720	2691
195	1728	2680
196	1736	2670
197	1745	2661
198	1753	2652
199	1760	2641
200	1768	2631
201	1777	2622
202	1787	2615
203	1796	2606
204	1805	2597
205	1814	2589
206	1822	2579
