model_name|learning_rate|loss_function|test_size|depth|random_seed|accuracy|m_precision|m_recall|m_f1_score|w_precision|w_recall|w_f1_score|var_predictors|top_10_var_predictors|details|param
KNeighbors Classifier|na|na|0.2|na|42|0.5945287808921818|0.49961938289857305|0.4736385345211393|0.47980567097478216|0.5641564250174412|0.5945287808921818|0.573197255047895|l_col_num_scaled, lista_nomes_encoded|na|Todas variaveis, inclusive UF|{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
KNeighbors Classifier|na|na|0.2|na|42|0.6093466659758562|0.514960092366191|0.47694268255910616|0.48588771342122267|0.5763362130497393|0.6093466659758562|0.5839685908819816|l_col_num_scaled, lista_nomes_encoded|na|Todas variaveis, inclusive UF|{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}
KNeighbors Classifier|na|na|0.2|na|42|0.6218330656442671|0.5262353472304079|0.48990964525947495|0.4960764038441527|0.5851960643236089|0.6218330656442671|0.5930487985038425|l_col_num_scaled, lista_nomes_encoded|na|Todas variaveis, inclusive UF|{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
Random Forest|na|na|0.2|na|42|0.6366509507279415|0.5465708805172511|0.5160258866858972|0.5199255449740401|0.6035919651529682|0.6366509507279415|0.6106104640662708|l_col_num_scaled, lista_nomes_encoded_2|['dias_cadastramento_scaled', 'dias_atualizacao_scaled', 'qtde_pessoas_scaled', 'faixa_qtde_pessoas_1 pessoa', 'qtd_comodos_domic_fam_scaled', 'nome_classf_Outros', 'faixa_qtde_pessoas_>= 4 pessoas', 'nome_classf_Regiao Metrop', 'qtd_comodos_dormitorio_fam_scaled', 'nome_calcamento_domic_fam_Total']|Todas variaveis, inclusive UF|{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}
Random Forest|na|na|0.2|na|42|0.6369618154499767|0.5462971966239577|0.515776020478287|0.5196202199611565|0.6038476655249038|0.6369618154499767|0.6108643027022154|l_col_num_scaled, lista_nomes_encoded_2|['dias_cadastramento_scaled', 'dias_atualizacao_scaled', 'qtde_pessoas_scaled', 'faixa_qtde_pessoas_1 pessoa', 'qtd_comodos_domic_fam_scaled', 'faixa_qtde_pessoas_>= 4 pessoas', 'nome_classf_Outros', 'nome_classf_Regiao Metrop', 'qtd_comodos_dormitorio_fam_scaled', 'nome_classf_Capital']|Todas variaveis, inclusive UF|{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}
Random Forest|na|na|0.2|na|42|0.6369618154499767|0.5462971966239577|0.515776020478287|0.5196202199611565|0.6038476655249038|0.6369618154499767|0.6108643027022154|l_col_num_scaled, lista_nomes_encoded_2|['dias_cadastramento_scaled', 'dias_atualizacao_scaled', 'qtde_pessoas_scaled', 'faixa_qtde_pessoas_1 pessoa', 'qtd_comodos_domic_fam_scaled', 'faixa_qtde_pessoas_>= 4 pessoas', 'nome_classf_Outros', 'nome_classf_Regiao Metrop', 'qtd_comodos_dormitorio_fam_scaled', 'nome_classf_Capital']|Todas variaveis, inclusive UF|{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': 50, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}
Decision Tree|na|na|0.2|na|42|0.6378425988290762|0.5504826733801554|0.4855722082319589|0.46654322645701196|0.5920352644660671|0.6378425988290762|0.5759313333857263|l_col_num_scaled, lista_nomes_encoded_2|['qtde_pessoas_scaled', 'nome_material_piso_simpl_Ceram_laj_pedra', 'faixa_qtde_pessoas_2 pessoas', 'qtd_comodos_domic_fam_scaled', 'faixa_qtde_pessoas_>= 4 pessoas', 'dias_cadastramento_scaled', 'nome_material_piso_fam_Ceram_laj_pedra', 'nome_regiao_ibge_Nordeste', 'faixa_comodos_domic_fam_>= 6', 'nome_local_domic_fam_Não se aplica']|Todas variaveis, inclusive UF|{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}
Decision Tree|na|na|0.2|na|42|0.6378425988290762|0.5504826733801554|0.4855722082319589|0.46654322645701196|0.5920352644660671|0.6378425988290762|0.5759313333857263|l_col_num_scaled, lista_nomes_encoded_2|['qtde_pessoas_scaled', 'nome_material_piso_simpl_Ceram_laj_pedra', 'faixa_qtde_pessoas_2 pessoas', 'qtd_comodos_domic_fam_scaled', 'faixa_qtde_pessoas_>= 4 pessoas', 'dias_cadastramento_scaled', 'nome_material_piso_fam_Ceram_laj_pedra', 'nome_regiao_ibge_Nordeste', 'faixa_comodos_domic_fam_>= 6', 'nome_local_domic_fam_Não se aplica']|Todas variaveis, inclusive UF|{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}
Random Forest Classifier|na|na|0.2|na|42|0.6382052743381172|0.5477851776761877|0.5171625338412228|0.520450544527325|0.6047619927000383|0.6382052743381172|0.611514549728332|l_col_num_scaled, lista_nomes_encoded_2|['qtde_pessoas_scaled', 'faixa_qtde_pessoas', 'dias_cadastramento_scaled', 'dias_atualizacao_scaled', 'nome_regiao_ibge', 'nome_uf_ibge', 'faixa_comodos_domic_fam', 'qtd_comodos_domic_fam_scaled', 'nome_material_piso_simpl', 'nome_classf']|Todas variaveis, inclusive UF|{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 1000, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}
Random Forest|na|na|0.2|na|42|0.6382052743381172|0.5477851776761877|0.5171625338412228|0.520450544527325|0.6047619927000383|0.6382052743381172|0.611514549728332|l_col_num_scaled, lista_nomes_encoded_2|['qtde_pessoas_scaled', 'faixa_qtde_pessoas', 'dias_cadastramento_scaled', 'dias_atualizacao_scaled', 'nome_regiao_ibge', 'nome_uf_ibge', 'faixa_comodos_domic_fam', 'qtd_comodos_domic_fam_scaled', 'nome_material_piso_simpl', 'nome_classf']|Todas variaveis, inclusive UF|{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 1000, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}
