iter	MultiClass
0	1.073644658
1	1.053326485
2	1.036765147
3	1.023343457
4	1.011308181
5	1.001467254
6	0.9929996848
7	0.9855237024
8	0.9790852175
9	0.9738287043
10	0.9692346911
11	0.9652659513
12	0.9615917069
13	0.9582031451
14	0.9557056094
15	0.9529382098
16	0.9507700305
17	0.94892031
18	0.9472793714
19	0.9455981117
20	0.94405831
21	0.9427313931
22	0.9416889453
23	0.9405428632
24	0.9395360409
25	0.9386237423
26	0.9377330078
27	0.9369299714
28	0.9361910567
29	0.935543938
30	0.9349572708
31	0.9343247252
32	0.9337801029
33	0.9332333564
34	0.9327867002
35	0.9324368241
36	0.9319894685
37	0.9316309791
38	0.9313882974
39	0.9310977072
40	0.9306265019
41	0.9303637271
42	0.9301030746
43	0.9298559473
44	0.9296560032
45	0.9293879869
46	0.9291500218
47	0.9290024612
48	0.9287822274
49	0.9286046634
50	0.928418937
51	0.9282416762
52	0.9280859377
53	0.9279775193
54	0.9278885604
55	0.9277400051
56	0.9276133844
57	0.9274229028
58	0.9273247164
59	0.9271484108
60	0.9269942275
61	0.9268247781
62	0.926700192
63	0.926590312
64	0.9264995973
65	0.9263135277
66	0.9261329211
67	0.9259737183
68	0.9258207402
69	0.9257280424
70	0.9256106145
71	0.9255339278
72	0.9254310601
73	0.9253557885
74	0.925231785
75	0.9251274686
76	0.9250346174
77	0.9248899802
78	0.9248276871
79	0.9247177653
80	0.9246605593
81	0.9245718846
82	0.924444872
83	0.9243631673
84	0.924282514
85	0.924212322
86	0.9240927098
87	0.9240094931
88	0.923940642
89	0.9238857693
90	0.9238230079
91	0.9237610022
92	0.9236579751
93	0.9236070555
94	0.9235670929
95	0.9235149925
96	0.9234529993
97	0.9233981911
98	0.9232709684
99	0.923213456
100	0.9231760898
101	0.923072373
102	0.9230275749
103	0.9229682177
104	0.9229362108
105	0.9228710014
106	0.9227974586
107	0.9227554734
108	0.9227040517
109	0.9226132735
110	0.9225697013
111	0.9225210175
112	0.9224572875
113	0.9224073458
114	0.9223509338
115	0.9223191419
116	0.9222297744
117	0.9221682541
118	0.9221133988
119	0.9220693295
120	0.9219748549
121	0.921945227
122	0.9218704067
123	0.9218014675
124	0.9217414583
125	0.9216878771
126	0.9215796895
127	0.9215327423
128	0.9214554123
129	0.9214273251
130	0.9213176463
131	0.9212672765
132	0.9212344795
133	0.9211786256
134	0.9211603553
135	0.9211075729
136	0.9210466022
137	0.9210002731
138	0.9209647471
139	0.9208927541
140	0.9208403477
141	0.9207702528
142	0.9206864098
143	0.9206150704
144	0.9205825203
145	0.92050781
146	0.9204784185
147	0.9204313145
148	0.9203009545
149	0.9202513538
150	0.9201972214
151	0.9201498276
152	0.920100338
153	0.9200298803
154	0.9199246428
155	0.919890295
156	0.9198054981
157	0.919712357
158	0.9196814069
159	0.919635795
160	0.9196017527
161	0.9195251312
162	0.919502689
163	0.9194478536
164	0.919398496
165	0.9193262941
166	0.9192991648
167	0.9192292584
168	0.919162214
169	0.9190747621
170	0.919042178
171	0.9189937351
172	0.918936757
173	0.9189004741
174	0.9187478365
175	0.9187167469
176	0.9186695651
177	0.9186057128
178	0.9185527953
179	0.9184863349
180	0.9184483092
181	0.9184098343
182	0.9183112745
183	0.9181668744
184	0.9181026368
185	0.9180426531
186	0.9179952133
187	0.9179480186
188	0.9179063528
189	0.9178490984
190	0.9177314813
191	0.9176722089
192	0.91756473
193	0.9175313422
194	0.9174861915
195	0.9173869198
196	0.9172586607
197	0.9172164615
198	0.9171407142
199	0.9171042988
200	0.9170348148
201	0.9169414737
202	0.9169294856
203	0.9168909327
204	0.9168437192
205	0.9168010795
206	0.9167223893
207	0.916674492
208	0.9166330281
209	0.9165820061
210	0.9165298005
211	0.9164659738
212	0.9164317815
213	0.9163942672
214	0.9163083387
215	0.91622334
216	0.9161476236
217	0.9161305851
218	0.9160906568
219	0.9160480576
220	0.9160269298
221	0.9159947725
222	0.9159303277
223	0.9158734535
224	0.9158011662
225	0.9157704055
226	0.9156686935
227	0.9156074449
228	0.9155706754
229	0.9155287838
230	0.9154426686
231	0.9154106647
232	0.9153870047
233	0.9153459786
234	0.915310123
235	0.9152889919
236	0.9152685196
237	0.9152146427
238	0.9151513461
239	0.9151055072
240	0.915060962
241	0.9149968625
242	0.9149494989
243	0.9148910153
244	0.9148516472
245	0.9148090533
246	0.9147921425
247	0.914748837
248	0.9146864897
249	0.9146378979
250	0.9145698117
251	0.9145158787
252	0.9144727765
253	0.9144096236
254	0.9143767979
255	0.9143390525
256	0.9142748437
257	0.9142341787
258	0.9141726123
259	0.914142252
260	0.9140907058
261	0.9140559637
262	0.913998291
263	0.9139407402
264	0.9139203048
265	0.9139081216
266	0.9138715649
267	0.9138001834
268	0.913773931
269	0.9137593892
270	0.913724987
271	0.9137027658
272	0.9136450005
273	0.9135957963
274	0.9135566413
275	0.9135404402
276	0.9135226869
277	0.9134886957
278	0.9134619604
279	0.9134194071
280	0.9133840037
281	0.9133764374
282	0.9133619042
283	0.9133502346
284	0.9133380651
285	0.913306198
286	0.9132747138
287	0.9132483325
288	0.9132079417
289	0.9131694873
290	0.9131444142
291	0.9130959594
292	0.9130601945
293	0.9130394398
294	0.9130228992
295	0.9129721078
296	0.9128843161
297	0.9128597257
298	0.9128085772
299	0.9127727938
300	0.9127608705
301	0.9127304144
302	0.9127029246
303	0.9126685519
304	0.9126383048
305	0.9126051678
306	0.912560188
307	0.9125189316
308	0.912501316
309	0.9124498168
310	0.9124138952
311	0.9123901877
312	0.9123775637
313	0.9123595833
314	0.9123393369
315	0.9123062705
316	0.9122796489
317	0.9122301042
318	0.9121902082
319	0.9121652951
320	0.9121159364
321	0.9120861738
322	0.9120690281
323	0.9120327892
324	0.9119710364
325	0.9119114543
326	0.9118669288
327	0.9118212681
328	0.9117840209
329	0.9117434146
330	0.9117256757
331	0.9116856379
332	0.9116410486
333	0.9116164566
334	0.9115856836
335	0.9115397927
336	0.9115059495
337	0.9114796568
338	0.9114567692
339	0.9114501491
340	0.9114198478
341	0.9113946051
342	0.9113698758
343	0.9113468055
344	0.9113346861
345	0.9113187244
346	0.9112708404
347	0.9112542358
348	0.9112366118
349	0.9112098334
350	0.9111510392
351	0.9111420569
352	0.9111157524
353	0.9110370931
354	0.9110132769
355	0.9109738852
356	0.9109575178
357	0.9109396743
358	0.9108893036
359	0.9108779843
360	0.9108613869
361	0.9108191354
362	0.9107780082
363	0.9107625381
364	0.9106915677
