iter	Passed	Remaining
0	19	9492
1	28	7193
2	36	6084
3	43	5396
4	50	4995
5	56	4687
6	63	4447
7	69	4260
8	75	4108
9	81	3984
10	87	3894
11	93	3813
12	100	3747
13	106	3693
14	112	3638
15	118	3579
16	125	3566
17	132	3538
18	138	3510
19	145	3489
20	151	3463
21	158	3443
22	165	3422
23	171	3408
24	178	3396
25	185	3382
26	192	3367
27	198	3350
28	205	3330
29	211	3319
30	218	3306
31	225	3293
32	231	3279
33	238	3271
34	245	3259
35	251	3241
36	258	3229
37	264	3217
38	271	3210
39	277	3196
40	284	3184
41	290	3171
42	297	3158
43	303	3145
44	309	3133
45	316	3118
46	322	3108
47	328	3096
48	335	3087
49	341	3075
50	348	3065
51	355	3060
52	362	3053
53	368	3042
54	375	3036
55	381	3027
56	389	3025
57	395	3014
58	402	3005
59	408	2995
60	415	2989
61	421	2979
62	427	2968
63	434	2962
64	440	2949
65	446	2937
66	453	2927
67	459	2921
68	466	2914
69	473	2908
70	480	2903
71	487	2900
72	493	2888
73	500	2883
74	507	2876
75	513	2866
76	520	2859
77	526	2849
78	533	2845
79	540	2839
80	546	2829
81	554	2828
82	561	2819
83	567	2810
84	573	2797
85	579	2787
86	585	2779
87	591	2768
88	597	2758
89	603	2747
90	609	2739
91	615	2728
92	621	2719
93	627	2710
94	633	2699
95	639	2690
96	645	2680
97	651	2671
98	657	2661
99	662	2651
100	669	2646
101	676	2637
102	681	2627
103	687	2618
104	693	2609
105	699	2600
106	705	2590
107	711	2581
108	716	2571
109	722	2561
110	728	2554
111	734	2544
112	740	2537
113	746	2529
114	752	2519
115	758	2509
116	764	2502
117	770	2494
118	776	2485
119	782	2476
120	787	2467
121	794	2461
122	800	2452
123	805	2443
124	812	2437
125	818	2428
126	824	2421
127	830	2414
128	836	2406
129	842	2397
130	849	2391
131	854	2383
132	861	2376
133	867	2370
134	874	2364
135	882	2361
136	888	2354
137	895	2348
138	900	2339
139	906	2330
140	913	2324
141	919	2319
142	925	2311
143	931	2303
144	938	2298
145	944	2289
146	950	2282
147	955	2273
148	962	2266
149	968	2259
150	974	2251
151	980	2244
152	985	2235
153	991	2228
154	1010	2248
155	1025	2262
156	1035	2263
157	1043	2259
158	1050	2252
159	1057	2246
160	1063	2238
161	1069	2230
162	1076	2225
163	1082	2218
164	1089	2212
165	1096	2205
166	1102	2198
167	1108	2190
168	1113	2181
169	1119	2173
170	1125	2165
171	1131	2157
172	1136	2149
173	1142	2141
174	1149	2134
175	1154	2126
176	1160	2117
177	1165	2109
178	1172	2102
179	1178	2094
180	1183	2085
181	1189	2077
182	1194	2069
183	1200	2061
184	1206	2054
185	1212	2047
186	1219	2040
187	1224	2032
188	1230	2024
189	1236	2016
190	1242	2009
191	1248	2002
192	1253	1994
193	1259	1986
194	1265	1979
195	1270	1971
196	1276	1963
197	1282	1956
198	1288	1948
199	1294	1942
200	1300	1935
201	1306	1927
202	1312	1919
203	1318	1912
204	1324	1905
205	1330	1898
206	1335	1890
207	1341	1882
208	1347	1875
209	1353	1869
210	1359	1862
211	1365	1855
212	1372	1849
213	1378	1842
214	1384	1835
215	1390	1828
216	1397	1822
217	1404	1816
218	1410	1809
219	1416	1803
220	1423	1797
221	1429	1790
222	1435	1783
223	1441	1776
224	1448	1770
225	1454	1763
226	1460	1756
227	1466	1749
228	1472	1742
229	1477	1734
230	1484	1728
231	1490	1721
232	1496	1715
233	1502	1708
234	1508	1701
235	1515	1694
236	1522	1689
237	1527	1681
238	1534	1676
239	1539	1668
240	1545	1661
241	1551	1654
242	1557	1647
243	1563	1640
244	1570	1634
245	1576	1627
246	1583	1621
247	1589	1615
248	1595	1608
249	1602	1602
250	1608	1595
251	1614	1588
252	1621	1582
253	1627	1575
254	1632	1568
255	1639	1562
256	1646	1556
257	1652	1549
258	1658	1543
259	1665	1537
260	1671	1530
261	1677	1524
262	1683	1516
263	1689	1510
264	1696	1504
265	1701	1497
266	1708	1490
267	1714	1484
268	1720	1477
269	1727	1471
270	1733	1464
271	1738	1457
272	1744	1450
273	1751	1444
274	1757	1437
275	1764	1431
276	1771	1426
277	1777	1419
278	1783	1412
279	1790	1406
280	1796	1400
281	1802	1393
282	1809	1387
283	1815	1380
284	1821	1373
285	1827	1367
286	1833	1360
287	1840	1354
288	1846	1348
289	1852	1341
290	1859	1335
291	1864	1328
292	1870	1321
293	1877	1315
294	1882	1308
295	1888	1301
296	1894	1294
297	1899	1287
298	1905	1280
299	1910	1273
300	1916	1267
301	1922	1260
302	1928	1253
303	1934	1246
304	1940	1240
305	1945	1233
306	1951	1226
307	1957	1220
308	1963	1213
309	1968	1206
310	1974	1199
311	1980	1193
312	1986	1186
313	1992	1180
314	1998	1173
315	2004	1166
316	2009	1160
317	2015	1153
318	2021	1146
319	2027	1140
320	2032	1133
321	2039	1127
322	2045	1120
323	2051	1114
324	2058	1108
325	2066	1102
326	2073	1096
327	2079	1090
328	2086	1084
329	2093	1078
330	2100	1072
331	2107	1066
332	2114	1060
333	2121	1054
334	2128	1048
335	2136	1042
336	2142	1036
337	2148	1029
338	2155	1023
339	2161	1017
340	2167	1010
341	2174	1004
342	2180	998
343	2188	992
344	2194	986
345	2201	979
346	2207	973
347	2213	966
348	2220	960
349	2227	954
350	2233	948
351	2242	942
352	2249	936
353	2257	931
354	2264	924
355	2271	918
356	2278	912
357	2285	906
358	2293	900
359	2300	894
360	2306	888
361	2312	881
362	2320	875
363	2326	869
364	2333	862
365	2340	856
366	2347	850
367	2355	844
368	2361	838
369	2367	831
370	2373	825
371	2379	818
372	2385	812
373	2391	805
374	2397	799
375	2403	792
376	2408	785
377	2415	779
378	2422	773
379	2428	766
380	2435	760
381	2441	754
382	2447	747
383	2453	741
384	2459	734
385	2465	728
386	2471	721
387	2477	715
388	2483	708
389	2489	702
390	2495	695
391	2502	689
392	2508	682
393	2514	676
394	2520	670
395	2527	663
396	2533	657
397	2539	650
398	2545	644
399	2552	638
400	2557	631
401	2563	624
402	2569	618
403	2575	612
404	2581	605
405	2587	599
406	2593	592
407	2599	586
408	2605	579
409	2610	573
410	2616	566
411	2623	560
412	2629	553
413	2635	547
414	2640	540
415	2646	534
416	2652	527
417	2658	521
418	2665	515
419	2670	508
420	2677	502
421	2682	495
422	2688	489
423	2694	482
424	2700	476
425	2705	470
426	2711	463
427	2716	457
428	2723	450
429	2729	444
430	2735	437
431	2740	431
432	2746	424
433	2751	418
434	2757	412
435	2763	405
436	2769	399
437	2775	392
438	2781	386
439	2786	379
440	2792	373
441	2797	367
442	2803	360
443	2809	354
444	2814	347
445	2820	341
446	2826	335
447	2831	328
448	2837	322
449	2842	315
450	2849	309
451	2854	303
452	2860	296
453	2866	290
454	2873	284
455	2879	277
456	2885	271
457	2891	265
458	2897	258
459	2903	252
460	2910	246
461	2915	239
462	2922	233
463	2928	227
464	2933	220
465	2940	214
466	2946	208
467	2951	201
468	2957	195
469	2963	189
470	2969	182
471	2975	176
472	2980	170
473	2987	163
474	2992	157
475	2998	151
476	3003	144
477	3009	138
478	3015	132
479	3021	125
480	3026	119
481	3032	113
482	3037	106
483	3043	100
484	3049	94
485	3055	88
486	3060	81
487	3066	75
488	3072	69
489	3078	62
490	3084	56
491	3090	50
492	3096	43
493	3101	37
494	3107	31
495	3114	25
496	3120	18
497	3126	12
498	3131	6
499	3138	0
