Código do Município,ideb_2017_municipio
1100015,6.2
1100023,5.5
1100031,6.1
1100049,6.3
1100056,6.4
1100064,6.4
1100072,5.7
1100080,4.8
1100098,6.1
1100106,4.9
1100114,6.1
1100122,6.2
1100130,5.2
1100148,7.2
1100155,5.8
1100189,6.2
1100205,5.3
1100254,6.3
1100262,5.1
1100288,6.4
1100296,6.8
1100304,5.9
1100320,5.7
1100338,5.2
1100346,5.8
1100379,5.8
1100403,5.7
1100452,5.6
1100502,5.8
1100601,5.8
1100700,5.3
1100809,4.4
1100924,5.2
1100940,4.5
1101005,5.5
1101104,4.8
1101203,6.9
1101302,5.3
1101401,5.3
1101435,5.4
1101450,5.3
1101468,6.3
1101476,5.1
1101484,5.7
1101492,5.9
1101500,5.7
1101559,6.0
1101609,6.4
1101708,6.0
1101757,5.8
1101807,5.1
1200013,5.4
1200054,4.3
1200104,6.4
1200138,4.5
1200179,4.2
1200203,5.5
1200252,5.8
1200302,5.5
1200328,4.8
1200336,5.2
1200344,4.7
1200351,4.2
1200385,5.2
1200393,3.7
1200401,6.4
1200427,5.8
1200435,3.4
1200450,6.4
1200500,5.7
1200609,5.2
1200708,5.5
1200807,5.0
1300029,3.7
1300060,4.0
1300086,5.0
1300102,5.3
1300144,5.4
1300201,4.5
1300300,4.8
1300409,4.7
1300508,4.6
1300607,4.4
1300631,4.6
1300680,4.6
1300706,6.1
1300805,5.1
1300839,4.7
1300904,3.8
1301001,4.8
1301100,4.8
1301159,4.3
1301209,4.6
1301308,4.6
1301407,4.5
1301506,3.7
1301605,3.1
1301654,4.1
1301704,4.5
1301803,3.7
1301852,4.5
1301902,5.7
1301951,4.4
1302009,5.2
1302108,4.9
1302207,3.6
1302306,3.9
1302405,4.1
1302504,5.3
1302553,4.4
1302603,5.9
1302702,5.1
1302801,3.5
1302900,5.1
1303007,5.8
1303106,4.8
1303205,5.7
1303304,5.1
1303403,5.8
1303502,3.1
1303536,5.0
1303569,4.7
1303601,4.4
1303700,4.0
1303809,4.5
1303908,4.4
1303957,5.2
1304005,4.4
1304062,4.6
1304104,4.3
1304203,4.6
1304237,3.7
1304260,3.8
1304302,5.3
1304401,4.4
1400027,4.6
1400050,4.6
1400100,5.8
1400159,4.5
1400209,4.5
1400233,4.5
1400282,4.4
1400308,4.3
1400407,4.3
1400456,5.0
1400472,4.5
1400506,4.2
1400605,4.2
1400704,4.2
1500107,4.6
1500131,5.1
1500206,3.7
1500305,3.3
1500347,3.5
1500404,4.0
1500503,3.6
1500602,5.5
1500701,3.3
1500800,5.0
1500859,4.2
1500909,4.0
1500958,4.6
1501006,3.6
1501105,3.9
1501204,3.9
1501253,4.0
1501303,4.1
1501402,4.8
1501451,4.6
1501501,6.2
1501576,4.7
1501600,4.0
1501709,4.1
1501725,5.3
1501758,4.4
1501782,4.4
1501808,3.5
1501907,4.0
1501956,3.5
1502004,3.9
1502103,3.8
1502152,5.0
1502202,4.4
1502301,3.6
1502400,4.7
1502509,3.3
1502608,4.4
1502707,4.5
1502756,3.8
1502764,3.9
1502772,5.3
1502806,3.1
1502855,3.8
1502905,3.8
1502939,5.4
1502954,4.4
1503002,4.1
1503044,4.3
1503077,3.7
1503093,4.5
1503101,3.3
1503200,3.7
1503309,3.8
1503408,4.6
1503457,4.5
1503507,4.1
1503606,4.8
1503705,3.9
1503754,3.8
1503804,4.3
1503903,4.7
1504000,3.6
1504059,4.7
1504109,3.9
1504208,4.6
1504307,4.4
1504406,3.8
1504422,4.8
1504455,4.3
1504505,3.3
1504604,3.9
1504703,4.8
1504752,5.0
1504802,4.4
1504901,4.2
1504950,3.5
1504976,4.0
1505007,4.1
1505031,5.0
1505064,4.2
1505106,4.8
1505205,3.5
1505304,4.8
1505403,4.5
1505437,4.8
1505486,4.0
1505494,3.6
1505502,5.7
1505536,5.7
1505551,3.4
1505601,4.7
1505635,4.4
1505650,4.1
1505700,4.1
1505809,3.3
1505908,3.7
1506005,3.5
1506104,4.6
1506112,4.1
1506138,4.8
1506161,4.8
1506187,4.9
1506195,4.8
1506203,4.2
1506302,4.2
1506351,5.1
1506401,3.3
1506500,4.1
1506559,3.8
1506583,3.6
1506609,4.2
1506708,3.9
1506807,5.5
1506906,4.4
1507003,3.9
1507102,4.0
1507151,3.9
1507201,3.4
1507300,4.0
1507409,4.4
1507458,4.4
1507466,3.4
1507474,3.9
1507508,3.7
1507607,4.4
1507706,4.1
1507755,4.1
1507805,4.4
1507904,4.0
1507953,4.4
1507961,4.8
1507979,5.6
1508001,4.6
1508035,3.8
1508050,4.7
1508084,4.5
1508100,4.6
1508126,6.0
1508159,4.4
1508209,4.1
1508308,3.7
1508357,4.9
1508407,4.4
1600055,5.1
1600105,3.7
1600154,4.6
1600204,3.4
1600212,3.4
1600238,3.6
1600253,4.1
1600279,4.3
1600303,4.5
1600402,4.2
1600501,4.0
1600535,4.1
1600550,2.7
1600600,4.8
1600709,3.8
1600808,3.6
1700251,4.9
1700301,4.4
1700350,6.0
1700400,4.5
1700707,5.6
1701002,5.1
1701051,5.0
1701101,5.7
1701309,4.4
1701903,4.5
1702000,5.9
1702109,6.1
1702158,5.4
1702208,5.2
1702307,5.3
1702406,5.1
1702554,5.6
1702703,6.0
1702901,4.3
1703008,4.3
1703057,4.7
1703073,4.1
1703107,5.1
1703206,4.9
1703305,5.5
1703602,5.7
1703701,5.0
1703800,4.7
1703826,4.6
1703842,4.2
1703867,4.8
1703883,4.1
1703891,3.8
1703909,4.6
1704105,4.5
1704600,4.1
1705102,5.0
1705508,5.8
1705557,6.1
1705607,5.3
1706001,5.1
1706100,5.2
1706258,4.8
1706506,4.6
1707009,5.3
1707108,5.6
1707207,4.8
1707306,5.7
1707405,4.0
1707553,4.7
1707652,5.5
1707702,4.8
1708205,5.4
1708254,5.3
1708304,4.9
1709005,4.2
1709302,5.7
1709500,6.0
1709807,4.5
1710508,5.4
1710706,4.1
1710904,4.9
1711100,5.1
1711506,5.2
1711803,4.0
1711902,3.9
1711951,4.3
1712009,4.8
1712157,5.3
1712405,4.2
1712454,4.4
1712504,5.0
1712702,4.7
1712801,4.7
1713205,5.0
1713304,5.3
1713601,4.5
1713700,5.3
1713809,5.2
1713957,4.6
1714203,5.8
1714302,5.3
1714880,4.0
1715002,5.2
1715101,5.0
1715150,5.9
1715259,4.6
1715507,3.9
1715705,3.9
1715754,6.0
1716109,6.4
1716208,4.6
1716307,4.3
1716505,6.0
1716604,5.0
1716653,5.7
1716703,5.3
1717008,4.9
1717206,4.7
1717503,5.0
1717800,4.8
1717909,5.0
1718006,4.9
1718204,5.4
1718303,4.0
1718402,5.5
1718451,4.8
1718501,3.9
1718550,4.7
1718659,4.4
1718709,4.8
1718758,5.5
1718808,4.9
1718840,5.2
1718865,4.5
1718881,4.6
1718899,4.3
1718907,4.7
1719004,4.0
1720002,3.8
1720101,4.2
1720150,4.8
1720200,4.0
1720259,5.0
1720309,4.6
1720499,6.1
1720655,4.9
1720804,4.6
1720853,4.5
1720903,5.1
1720937,4.2
1720978,5.0
1721000,6.5
1721109,4.6
1721208,5.4
1721257,4.8
1721307,4.4
1722081,4.7
1722107,5.2
2100055,5.0
2100105,4.4
2100154,4.3
2100204,4.4
2100303,4.1
2100402,4.5
2100436,4.3
2100477,5.5
2100501,5.2
2100550,3.8
2100600,4.1
2100709,4.4
2100808,3.8
2100832,4.6
2100873,4.2
2100907,4.0
2100956,3.6
2101004,5.2
2101103,4.9
2101202,5.1
2101251,4.8
2101301,4.4
2101350,4.7
2101400,4.6
2101509,5.1
2101608,4.6
2101707,4.6
2101731,3.7
2101772,4.1
2101806,4.1
2101905,4.8
2101939,4.5
2101970,4.0
2102002,4.4
2102036,4.1
2102077,4.5
2102101,3.8
2102150,3.9
2102200,4.2
2102309,5.3
2102325,4.2
2102358,4.5
2102374,4.2
2102408,4.0
2102507,4.1
2102556,5.1
2102606,4.6
2102705,4.3
2102754,4.4
2102804,4.6
2102903,5.1
2103000,4.9
2103109,5.0
2103125,4.5
2103158,4.0
2103174,4.0
2103208,4.2
2103257,4.5
2103307,4.4
2103406,4.0
2103505,4.1
2103554,3.9
2103604,4.7
2103703,4.8
2103752,4.5
2103802,4.8
2103901,5.1
2104008,4.4
2104057,4.8
2104073,4.5
2104081,3.9
2104099,5.3
2104107,4.7
2104206,4.8
2104305,4.2
2104404,4.3
2104503,4.6
2104552,4.5
2104602,3.9
2104628,3.6
2104651,4.0
2104677,4.0
2104701,3.9
2104800,4.2
2104909,4.4
2105005,4.3
2105104,4.3
2105153,4.5
2105203,4.6
2105302,5.2
2105351,3.6
2105401,4.1
2105427,4.7
2105450,4.6
2105476,3.7
2105500,4.6
2105609,4.6
2105658,5.1
2105708,4.5
2105807,5.2
2105906,4.2
2105922,6.1
2105948,5.0
2105963,4.2
2105989,4.8
2106003,4.5
2106201,4.1
2106300,4.8
2106326,4.0
2106359,4.2
2106375,4.3
2106409,4.3
2106508,4.4
2106607,3.9
2106631,5.5
2106672,4.2
2106706,4.1
2106755,5.2
2106805,4.4
2106904,4.0
2107001,3.9
2107100,3.9
2107209,4.5
2107258,4.7
2107308,4.1
2107357,4.5
2107407,4.0
2107456,4.1
2107506,5.0
2107605,4.9
2107704,4.2
2107803,4.0
2107902,5.1
2108009,5.0
2108058,4.6
2108108,3.8
2108207,4.5
2108256,4.0
2108306,4.8
2108405,4.4
2108454,3.8
2108504,4.0
2108603,4.9
2108702,3.9
2108801,4.4
2108900,4.6
2109007,5.9
2109056,4.2
2109106,4.3
2109205,4.9
2109239,4.5
2109270,4.9
2109304,4.1
2109403,4.5
2109452,4.2
2109502,4.5
2109551,4.4
2109601,5.2
2109700,4.6
2109759,4.0
2109809,3.8
2109908,4.2
2110005,4.6
2110039,3.9
2110203,4.7
2110237,4.3
2110278,4.1
2110302,4.9
2110401,4.2
2110500,4.9
2110609,4.4
2110658,3.9
2110708,4.6
2110807,4.6
2110856,5.2
2110906,4.4
2111003,4.2
2111029,4.4
2111052,4.6
2111078,4.1
2111102,5.0
2111201,5.3
2111250,3.9
2111300,4.7
2111409,4.4
2111508,4.5
2111532,4.7
2111573,4.0
2111607,5.5
2111631,3.8
2111672,3.7
2111706,3.8
2111722,4.7
2111748,4.2
2111763,3.9
2111789,4.2
2111805,4.6
2111904,5.1
2111953,4.5
2112001,4.2
2112100,4.0
2112209,5.0
2112233,4.9
2112274,4.1
2112308,4.7
2112407,4.4
2112456,3.8
2112506,4.4
2112605,4.0
2112704,4.3
2112803,4.5
2112852,5.0
2112902,4.5
2113009,4.4
2114007,4.4
2200053,5.5
2200103,4.5
2200202,6.1
2200251,4.4
2200277,5.3
2200301,5.1
2200400,5.3
2200459,3.4
2200509,4.3
2200608,5.3
2200707,4.2
2200806,4.7
2200905,4.7
2201002,5.0
2201051,4.5
2201101,5.0
2201150,5.4
2201176,4.6
2201200,4.9
2201309,3.3
2201408,3.8
2201507,4.0
2201556,5.5
2201572,5.3
2201606,6.1
2201705,3.7
2201739,4.6
2201770,4.8
2201804,5.1
2201903,6.3
2201919,4.5
2201929,3.9
