iter	MultiClass
0	1.014918272
1	0.9495639422
2	0.8986593286
3	0.8564038262
4	0.8209955012
5	0.7922977142
6	0.7683628633
7	0.7467532972
8	0.7282162132
9	0.7124458455
10	0.6986905779
11	0.6851279873
12	0.6743858909
13	0.6641052689
14	0.656256748
15	0.648432158
16	0.6412897856
17	0.6340523283
18	0.6288525032
19	0.6239744974
20	0.6192786721
21	0.6145601344
22	0.6105545233
23	0.6058769176
24	0.6017308567
25	0.5981448468
26	0.5949181328
27	0.5923314451
28	0.5893230987
29	0.5869913997
30	0.584567474
31	0.5822281691
32	0.5801120794
33	0.5776970701
34	0.5753204708
35	0.5734831438
36	0.5713674737
37	0.569932749
38	0.5684359052
39	0.5670443872
40	0.5652553057
41	0.5637387893
42	0.5623788421
43	0.5610870136
44	0.5600183656
45	0.5588554751
46	0.5576093129
47	0.5563381573
48	0.5550966508
49	0.5539897145
50	0.5530430535
51	0.5520839403
52	0.5510590518
53	0.550358275
54	0.5492386432
55	0.5482403662
56	0.5475630401
57	0.5465110016
58	0.5459019063
59	0.545161771
60	0.5441051303
61	0.5432909469
62	0.5424590095
63	0.5417798828
64	0.5409542146
65	0.5401774148
66	0.5394067092
67	0.538736024
68	0.5380633017
69	0.5375443966
70	0.53704907
71	0.5362395729
72	0.5357919284
73	0.5354258111
74	0.5344713588
75	0.5339541268
76	0.5335183665
77	0.5330517455
78	0.5326083191
79	0.5317706715
80	0.5312525902
81	0.5307398668
82	0.5303802044
83	0.5300752164
84	0.5296981381
85	0.5292738751
86	0.5287286291
87	0.5281150419
88	0.5275743578
89	0.5271568949
90	0.5267344534
91	0.5260951183
92	0.5258067389
93	0.5254694054
94	0.5248023044
95	0.5244844527
96	0.5240878561
97	0.5234745972
98	0.5231525846
99	0.5227395311
100	0.5222589538
101	0.5219935142
102	0.5216956562
103	0.5210832606
104	0.5205981646
105	0.5201546182
106	0.5198315903
107	0.5194935842
108	0.5190148426
109	0.5186823987
110	0.51846664
111	0.5180841362
112	0.5177685255
113	0.5174168183
114	0.5169006916
115	0.5165493852
116	0.5161155627
117	0.5157599616
118	0.5154406125
119	0.5151233067
120	0.5147774869
121	0.5146114063
122	0.5142491198
123	0.5138664807
124	0.5134925638
125	0.5131147963
126	0.512736071
127	0.5125017695
128	0.5122458671
129	0.5118802007
130	0.5116801195
131	0.5114332098
132	0.5111520087
133	0.5109543397
134	0.5106815341
135	0.5104659875
136	0.5099981822
137	0.5097927832
138	0.5096393001
139	0.5094080766
140	0.5090751521
141	0.5087563079
142	0.5085190353
143	0.508175242
144	0.5079573152
145	0.5077696524
146	0.5075317479
147	0.5073289471
148	0.5070784792
149	0.5068879856
150	0.5066420748
151	0.5063905337
152	0.5061902104
153	0.506034933
154	0.50580726
155	0.5055267895
156	0.5050787785
157	0.5048866546
158	0.5046287747
159	0.5043848451
160	0.5042028486
161	0.5039662225
162	0.5037919063
163	0.5035776189
164	0.5033422388
165	0.5031656172
166	0.5029401225
167	0.5027013539
168	0.5025655551
169	0.5022882162
170	0.5021335482
171	0.5019385861
172	0.5018182636
173	0.5016344437
174	0.5015193766
175	0.5013206371
176	0.5010510136
177	0.5009471236
178	0.5007513087
179	0.5005557031
180	0.5003560588
181	0.5001487403
182	0.5000348872
183	0.4998803646
184	0.4996608464
185	0.4994601346
186	0.4993420662
187	0.4991148175
188	0.4989487016
189	0.498774537
190	0.4986870695
191	0.4984910437
192	0.4982709075
193	0.4981125146
194	0.4979892888
195	0.497748795
196	0.497619509
197	0.4973648189
198	0.4971903724
199	0.4970422039
200	0.4968294224
201	0.4966502302
202	0.4964738732
203	0.4963196383
204	0.4960968519
205	0.4959626869
206	0.495845746
207	0.495595485
208	0.4954512299
209	0.4953225496
