iter	Passed	Remaining
0	10	5233
1	20	5050
2	30	5106
3	41	5119
4	51	5077
5	61	5083
6	73	5159
7	83	5138
8	96	5251
9	107	5247
10	117	5209
11	127	5194
12	138	5202
13	148	5149
14	157	5105
15	168	5106
16	178	5081
17	188	5059
18	199	5057
19	210	5051
20	220	5023
21	230	5010
22	241	5004
23	251	4992
24	261	4965
25	271	4952
26	281	4926
27	290	4901
28	300	4880
29	310	4864
30	319	4839
31	328	4806
32	337	4777
33	348	4772
34	358	4756
35	366	4727
36	377	4719
37	386	4702
38	395	4679
39	405	4663
40	415	4652
41	426	4649
42	436	4636
43	445	4618
44	454	4596
45	463	4574
46	473	4567
47	483	4557
48	494	4549
49	504	4538
50	514	4531
51	524	4518
52	533	4501
53	542	4481
54	553	4475
55	562	4456
56	572	4446
57	581	4431
58	590	4410
59	599	4399
60	610	4391
61	619	4374
62	628	4360
63	638	4347
64	647	4334
65	657	4326
66	667	4316
67	677	4306
68	687	4295
69	697	4282
70	707	4275
71	718	4269
72	726	4251
73	735	4236
74	745	4226
75	754	4211
76	764	4199
77	773	4187
78	782	4172
79	793	4163
80	802	4151
81	812	4141
82	821	4127
83	830	4110
84	839	4097
85	848	4084
86	858	4075
87	868	4065
88	878	4058
89	888	4046
90	898	4036
91	908	4027
92	917	4014
93	926	4000
94	936	3990
95	945	3977
96	954	3967
97	965	3960
98	973	3944
99	983	3933
100	994	3927
101	1004	3917
102	1013	3905
103	1024	3900
104	1033	3886
105	1043	3877
106	1052	3864
107	1061	3852
108	1071	3843
109	1080	3831
110	1089	3818
111	1099	3809
112	1109	3799
113	1118	3788
114	1128	3777
115	1138	3768
116	1148	3758
117	1157	3746
118	1166	3734
119	1175	3723
120	1186	3717
121	1196	3706
122	1206	3697
123	1216	3688
124	1225	3676
125	1235	3667
126	1246	3661
127	1255	3649
128	1265	3639
129	1275	3631
130	1285	3621
131	1295	3611
132	1305	3601
133	1313	3588
134	1323	3578
135	1333	3568
136	1343	3559
137	1352	3548
138	1361	3537
139	1371	3527
140	1382	3519
141	1392	3509
142	1402	3500
143	1411	3490
144	1421	3479
145	1430	3469
146	1440	3458
147	1449	3447
148	1459	3437
149	1470	3430
150	1479	3420
151	1489	3410
152	1498	3398
153	1508	3388
154	1518	3379
155	1527	3367
156	1537	3359
157	1547	3348
158	1556	3338
159	1566	3327
160	1574	3315
161	1584	3305
162	1593	3295
163	1603	3285
164	1613	3275
165	1622	3265
166	1631	3253
167	1640	3242
168	1649	3231
169	1659	3221
170	1668	3210
171	1678	3200
172	1687	3190
173	1696	3178
174	1705	3168
175	1714	3156
176	1725	3148
177	1734	3136
178	1744	3128
179	1753	3118
180	1763	3108
181	1773	3098
182	1781	3086
183	1791	3077
184	1801	3067
185	1811	3057
186	1821	3048
187	1831	3038
188	1851	3047
189	1864	3042
190	1872	3029
191	1882	3019
192	1891	3008
193	1901	2999
194	1910	2988
195	1919	2977
196	1928	2966
197	1938	2956
198	1947	2946
199	1957	2935
200	1966	2925
201	1977	2916
202	1986	2906
203	1995	2895
204	2005	2885
205	2015	2876
206	2025	2866
207	2035	2857
208	2044	2846
209	2053	2835
210	2063	2825
211	2073	2816
212	2082	2805
213	2092	2796
214	2101	2786
215	2111	2776
216	2120	2765
217	2131	2756
218	2140	2746
219	2149	2736
220	2159	2725
221	2168	2716
222	2179	2706
223	2189	2697
224	2198	2686
225	2207	2676
226	2217	2666
227	2227	2656
228	2237	2647
229	2247	2638
230	2257	2628
231	2267	2619
232	2277	2609
233	2286	2599
234	2296	2589
235	2306	2579
236	2316	2570
237	2325	2559
238	2334	2549
239	2343	2539
240	2354	2529
241	2363	2519
242	2372	2509
243	2381	2498
244	2391	2489
245	2401	2479
246	2410	2468
247	2419	2458
248	2429	2449
249	2438	2438
250	2448	2428
251	2457	2418
252	2467	2408
253	2476	2398
254	2485	2388
255	2494	2377
256	2504	2367
257	2512	2357
258	2523	2347
259	2533	2338
260	2543	2328
261	2552	2318
