iter	MultiClass
0	1.035049533
1	0.9867196419
2	0.9473865673
3	0.9146531343
4	0.8845130114
5	0.8593198193
6	0.8392496772
7	0.8195292093
8	0.8026914402
9	0.7902093578
10	0.7771784361
11	0.7664765534
12	0.7566419509
13	0.7469001467
14	0.7389754555
15	0.7323002399
16	0.7253880397
17	0.7198077517
18	0.7141447053
19	0.7095257207
20	0.7051538815
21	0.7010363836
22	0.6971224545
23	0.6939420385
24	0.6898220593
25	0.6866974436
26	0.6842851665
27	0.6810315181
28	0.6783167403
29	0.6757310966
30	0.6724485028
31	0.6704551616
32	0.6681194093
33	0.6653151837
34	0.6636355837
35	0.6618949972
36	0.6602644653
37	0.6584325232
38	0.6568510888
39	0.65549271
40	0.6537028808
41	0.652620257
42	0.6515206686
43	0.6499023796
44	0.6483522378
45	0.6474742427
46	0.6463383206
47	0.6453156486
48	0.643816047
49	0.6427041947
50	0.6415784912
51	0.6405513773
52	0.6396081365
53	0.6385536563
54	0.6376577947
55	0.6368404513
56	0.6359802018
57	0.6350799227
58	0.6343024602
59	0.6336493107
60	0.6329104904
61	0.6319124077
62	0.6311559051
63	0.6306600489
64	0.6298815414
65	0.6291670174
66	0.628760077
67	0.6280783766
68	0.6275403881
69	0.6270947203
70	0.6262850719
71	0.6256296284
72	0.6250371675
73	0.6245236057
74	0.6241133418
75	0.6235913993
76	0.6229419747
77	0.6223670994
78	0.6217964395
79	0.621398381
80	0.6208967622
81	0.6202285737
82	0.6196189774
83	0.6190431983
84	0.6185844047
85	0.618217965
86	0.6177766237
87	0.6173103084
88	0.6167414417
89	0.6162672114
90	0.6153587264
91	0.6149841492
92	0.6146697381
93	0.6142542273
94	0.6137133729
95	0.6134357878
96	0.613089744
97	0.6127987207
98	0.6122544137
99	0.6118202796
100	0.6113884411
101	0.6110030648
102	0.6106822815
103	0.6103131459
104	0.6100430393
105	0.6097222471
106	0.6093128787
107	0.6089838051
108	0.608567053
109	0.6082907595
110	0.6080758343
111	0.607772014
112	0.6074690129
113	0.6071710024
114	0.6069253519
115	0.6064745505
116	0.6062713366
117	0.6060471369
118	0.6057441723
119	0.6054570773
120	0.6051981613
121	0.604916795
122	0.6046936468
123	0.6043596066
124	0.6040797039
125	0.6038950367
126	0.6035670143
127	0.6033653444
128	0.6031109651
129	0.6026218332
130	0.6022721245
131	0.6019637527
132	0.6015473611
133	0.6013446089
134	0.6010255856
135	0.6008016821
136	0.6005445221
137	0.6003364956
138	0.5998464725
139	0.5996516442
140	0.5993878391
141	0.5990895101
142	0.5988199694
143	0.5986184526
144	0.5983166394
145	0.5980070502
146	0.5976774897
147	0.5974455732
148	0.5972250697
149	0.5969474731
150	0.5967367039
151	0.5965188111
152	0.5962952492
153	0.5960678822
154	0.5958989823
155	0.595720711
156	0.5955373838
157	0.5953304567
158	0.5951343817
159	0.5949278623
160	0.5947377309
161	0.5946094248
162	0.5943775055
163	0.5941800915
164	0.59392874
165	0.5936649294
166	0.5935225832
167	0.5933231845
168	0.5930856118
169	0.5929243421
170	0.5927523424
171	0.5925606411
172	0.5923203232
173	0.5920360914
174	0.5919021365
175	0.5917403213
176	0.5916128308
177	0.5914287721
178	0.5910880115
179	0.5909209688
180	0.5907179403
181	0.590591588
182	0.5904532536
183	0.5903153266
184	0.5901543075
185	0.5900092078
186	0.5898137885
187	0.589646984
188	0.5894657431
189	0.5893017707
190	0.5890842066
191	0.5889441115
192	0.5887121647
193	0.5885528563
194	0.5883877558
195	0.588231115
196	0.588109281
197	0.587952862
198	0.5877840603
199	0.5876642333
200	0.5875121123
201	0.587358779
202	0.5872961272
203	0.5871918737
204	0.5870232619
205	0.5868505963
206	0.5866482677
207	0.5865644769
208	0.5862763967
209	0.5861295027
210	0.5859960386
211	0.5858713857
212	0.5857725498
213	0.5856531216
214	0.5855316916
215	0.5853157115
216	0.5851102178
217	0.5850130906
218	0.5848304848
219	0.5847532764
220	0.5845532972
221	0.5844031445
222	0.5842566703
223	0.5841287658
224	0.583957373
225	0.5837292323
226	0.5835834557
227	0.5833142368
228	0.5831954223
229	0.5830812349
230	0.5829970005
231	0.5828458524
232	0.5827103657
233	0.5825207936
234	0.582393131
235	0.5822488526
236	0.5820709776
237	0.5819170827
238	0.5817700606
239	0.5816910433
240	0.5815476211
241	0.5813628453
242	0.5812241581
243	0.5810173085
244	0.5808247137
245	0.5806989866
246	0.5806005853
247	0.5804456546
248	0.5803422353
249	0.5801497063
250	0.5799629528
251	0.5798205041
252	0.5797057908
253	0.5796580591
254	0.579425678
255	0.5792467954
256	0.5791137397
257	0.5790670072
258	0.5789434553
259	0.5788843147
260	0.5787057509
261	0.578512491
262	0.5784271971
263	0.5783451381
264	0.5781959612
265	0.5780757559
266	0.5778302421
267	0.577625896
268	0.577533997
269	0.5774325177
270	0.5773103216
271	0.5772139802
272	0.5770912825
273	0.5769469611
274	0.5768212069
275	0.5767136449
276	0.5765346752
277	0.5764098279
278	0.5762834127
279	0.5761728854
280	0.5760952397
281	0.5759797853
282	0.5758030551
283	0.5757225143
284	0.5755960852
285	0.5754891341
286	0.5754203347
287	0.5753193196
288	0.5751956128
289	0.5750803708
290	0.5749996073
291	0.5748990751
292	0.5748039512
293	0.5747209384
294	0.5746273568
295	0.5745221218
296	0.5744429869
297	0.5743761691
298	0.5741910144
299	0.5741211128
300	0.5739989344
301	0.5739196193
302	0.5737951531
303	0.5737110525
304	0.5736032679
305	0.57345804
306	0.5733623421
307	0.5732975156
308	0.5732223745
309	0.5730637415
310	0.5729917463
311	0.5728827014
312	0.5727943786
313	0.572622264
314	0.5724873576
315	0.5724088381
316	0.5723420838
317	0.5722400088
318	0.5721742585
319	0.5720383128
320	0.5719531813
321	0.5718596195
322	0.5717680707
323	0.571642006
324	0.5715649372
325	0.5714904257
326	0.571369112
327	0.5712652841
328	0.5711409071
329	0.5710686474
330	0.5709660543
331	0.5708877347
332	0.5708018306
333	0.5707270604
334	0.5706436485
335	0.5704842812
336	0.5703772339
337	0.5702209364
338	0.5701451376
339	0.5700145627
340	0.5699024079
341	0.5698090793
342	0.5697405256
343	0.5695735611
344	0.5694655865
345	0.5693517026
346	0.5692692545
347	0.5691571198
348	0.5689818351
349	0.5689143982
350	0.5688437114
351	0.5688128253
352	0.5687500047
353	0.5686242397
354	0.5685934713
355	0.5685330474
356	0.5684830184
357	0.5684153562
358	0.5683516188
359	0.5682925582
360	0.568186931
361	0.5680952501
362	0.5679796382
363	0.5679389885
364	0.5678341164
365	0.5677977497
366	0.5677353927
367	0.5676311892
368	0.567497852
369	0.5674016233
370	0.567370551
371	0.5672862977
372	0.5672504971
373	0.5671817473
374	0.5670917234
375	0.5669819346
376	0.566877626
377	0.5667768751
378	0.5667040251
379	0.566598766
380	0.5665089262
381	0.566382431
382	0.5662495429
383	0.5661493646
384	0.5660697256
385	0.566021463
386	0.5659640177
387	0.5658374336
388	0.5657219843
389	0.5656399119
390	0.5655712657
391	0.5654885686
392	0.5653994606
393	0.5652901317
394	0.5652227427
395	0.565157717
396	0.5650501088
397	0.5650172789
398	0.5649225418
399	0.5648302996
400	0.5647717528
401	0.5647378044
402	0.5646210493
403	0.5645878314
404	0.5644228779
405	0.5643540348
406	0.5642809612
407	0.5642196432
408	0.5640880375
409	0.5640061888
410	0.5639213634
411	0.5638219937
412	0.563711229
413	0.5636564149
414	0.5636107653
415	0.5635581072
416	0.5634897631
417	0.5634049537
418	0.5633001495
419	0.5632213736
420	0.5631708844
421	0.5630605783
422	0.5629504056
423	0.5628924126
424	0.5628038942
425	0.5627391735
426	0.5626528126
427	0.5625606991
428	0.5624359632
429	0.5623760786
430	0.5623046959
431	0.5622349274
432	0.5621883987
433	0.562090761
434	0.5620395294
