iter	Passed	Remaining
0	13	13672
1	28	13988
2	39	13244
3	51	12852
4	63	12558
5	74	12265
6	86	12273
7	98	12215
8	111	12328
9	124	12296
10	136	12273
11	148	12240
12	161	12230
13	172	12147
14	184	12099
15	199	12279
16	211	12246
17	224	12248
18	238	12296
19	252	12361
20	264	12324
21	277	12323
22	290	12325
23	301	12257
24	311	12167
25	323	12128
26	333	12033
27	345	11983
28	357	11958
29	367	11890
30	379	11854
31	390	11807
32	400	11724
33	411	11692
34	424	11702
35	435	11672
36	446	11608
37	457	11575
38	467	11522
39	478	11481
40	489	11454
41	501	11444
42	511	11391
43	523	11369
44	533	11325
45	544	11282
46	556	11277
47	567	11251
48	577	11208
49	588	11189
50	600	11174
51	611	11139
52	621	11108
53	631	11065
54	642	11045
55	667	11256
56	677	11214
57	690	11213
58	701	11188
59	714	11187
60	725	11167
61	736	11140
62	747	11123
63	758	11097
64	769	11063
65	781	11064
66	793	11046
67	804	11032
68	817	11029
69	828	11009
70	838	10974
71	850	10961
72	860	10929
73	870	10894
74	881	10877
75	893	10868
76	905	10860
77	932	11025
78	942	10990
79	954	10974
80	966	10961
81	977	10943
82	987	10913
83	997	10872
84	1006	10839
85	1017	10811
86	1027	10784
87	1038	10763
88	1048	10737
89	1059	10712
90	1069	10685
91	1080	10666
92	1090	10634
93	1101	10615
94	1112	10600
95	1123	10582
96	1134	10560
97	1146	10552
98	1156	10522
99	1166	10501
100	1177	10485
101	1188	10466
102	1199	10445
103	1211	10438
104	1221	10412
105	1233	10400
106	1245	10393
107	1256	10375
108	1266	10350
109	1276	10330
110	1285	10295
111	1295	10272
112	1306	10255
113	1316	10229
114	1325	10199
115	1336	10187
116	1348	10175
117	1357	10148
118	1366	10117
119	1377	10100
120	1386	10075
121	1395	10045
122	1406	10029
123	1416	10007
124	1426	9982
125	1435	9956
126	1445	9937
127	1455	9913
128	1465	9891
129	1474	9868
130	1483	9842
131	1492	9815
132	1502	9791
133	1512	9772
134	1522	9752
135	1531	9729
136	1541	9708
137	1550	9686
138	1559	9659
139	1569	9638
140	1579	9623
141	1589	9606
142	1599	9587
143	1609	9565
144	1619	9547
145	1629	9530
146	1639	9512
147	1648	9492
148	1660	9485
149	1673	9481
150	1683	9465
151	1691	9439
152	1701	9421
153	1712	9406
154	1721	9386
155	1731	9368
156	1740	9346
157	1750	9326
158	1759	9307
159	1768	9284
160	1778	9266
161	1787	9247
162	1797	9228
163	1805	9205
164	1815	9187
165	1825	9169
166	1834	9149
167	1844	9133
168	1852	9109
169	1862	9093
170	1871	9073
171	1882	9061
172	1892	9046
173	1902	9030
174	1911	9009
175	1921	8995
176	1932	8984
177	1940	8962
178	1951	8950
179	1960	8933
180	1970	8918
181	1981	8904
182	1990	8885
183	2000	8871
184	2010	8855
185	2021	8844
186	2031	8830
187	2040	8815
188	2050	8799
189	2060	8782
190	2070	8768
191	2079	8749
192	2089	8735
193	2098	8719
194	2108	8705
195	2118	8689
196	2128	8675
197	2136	8655
198	2146	8638
