,Valores Faltantes,Porcentagem (%)
cd_ibge,0,0.0
estrato,0,0.0
classf,0,0.0
id_familia,0,0.0
id_pessoa,0,0.0
cod_sexo_pessoa,0,0.0
idade,0,0.0
cod_parentesco_rf_pessoa,0,0.0
cod_raca_cor_pessoa,5153,0.04009305822114267
cod_local_nascimento_pessoa,54360,0.4229494750439191
cod_certidao_registrada_pessoa,0,0.0
cod_deficiencia_memb,0,0.0
cod_sabe_ler_escrever_memb,1851,0.014401756407400558
ind_frequenta_escola_memb,1923,0.01496195438759118
cod_escola_local_memb,8506442,66.18460593067597
cod_curso_frequenta_memb,8473736,65.93013599817438
cod_ano_serie_frequenta_memb,9347941,72.73191204362635
cod_curso_frequentou_pessoa_memb,6173568,48.03361561346463
cod_ano_serie_frequentou_memb,6498619,50.562683858727716
cod_concluiu_frequentou_memb,6498384,50.5608554347646
cod_trabalhou_memb,4301892,33.47098901941934
cod_afastado_trab_memb,7138988,55.545092475070604
cod_agricultura_trab_memb,10015482,77.92573315327118
cod_principal_trab_memb,9934363,77.29458454278392
val_remuner_emprego_memb,4303158,33.48083916723769
cod_trabalho_12_meses_memb,4303398,33.48270649383833
qtd_meses_12_meses_memb,9762217,75.95519785531314
val_renda_bruta_12_meses_memb,9762206,75.95511226951062
val_renda_doacao_memb,4303402,33.48273761594834
val_renda_aposent_memb,27013,0.21017538942901745
val_renda_seguro_desemp_memb,4303406,33.48276873805835
val_renda_pensao_alimen_memb,27180,0.21147473752195955
val_outras_rendas_memb,4303083,33.48025562767499
peso.fam,0,0.0
peso.pes,0,0.0
